pmid,pub_year,stance,theme(s),mechanism,specialty,region
27193043,2021,Neutral,,,Surgery,North America
31298274,2021,Neutral,,,Medical Informatics / Digital Health,Latin America / Oceania
31451912,2021,Cautious Optimism,,,Neurology / Neuroscience,North America
31897624,2021,Cautious Optimism,,,Surgery,East Asia
31972254,2021,Caution,replacement|regulation,misclassification|discriminative,Dermatology,North America
31989416,2021,Cautious Optimism,,,Surgery,North America
32048372,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
32059956,2021,Neutral,,,Radiology / Diagnostic Imaging,North America
32060575,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
32063248,2021,Cautious Optimism,,,Mental Health / Psychiatry,North America
32078175,2021,Caution,education|ethics_bias|cognitive,none_or_unclear|unclear,Medical Education,Western Europe
32102747,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
32107677,2021,Cautious Optimism,,,Internal Medicine / Primary Care,North America
32126819,2021,Caution,safety_clinical|regulation,none_or_unclear|discriminative,Ophthalmology,North America
32130081,2021,Neutral,,,Medical Informatics / Digital Health,North America
32174153,2021,Cautious Optimism,,,Ophthalmology,North America
32236476,2021,Cautious Optimism,,,Medical Informatics / Digital Health,North America
32305938,2021,Cautious Optimism,,,Cardiology,Unknown
32329352,2021,Caution,safety_clinical|hallucination,misclassification|discriminative,Internal Medicine / Primary Care,North America
32335539,2021,Alarm,hallucination,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
32335733,2021,Cautious Optimism,,,Oncology,East Asia
32346109,2021,Cautious Optimism,,,Ophthalmology,Western Europe
32376611,2021,Cautious Optimism,,,Ophthalmology,Western Europe
32380551,2021,Caution,other,misclassification|both,Medical Informatics / Digital Health,Western Europe
32382145,2021,Caution,safety_clinical|hallucination,misclassification|discriminative,Ophthalmology,Western Europe
32414637,2021,Caution,replacement|ethics_bias,none_or_unclear|unclear,Medical Education,Western Europe
32434009,2022,Cautious Optimism,,,Dermatology,North America
32470426,2021,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
32504192,2021,Neutral,,,Medical Informatics / Digital Health,Latin America / Oceania
32531273,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
32532762,2021,Cautious Optimism,,,Ophthalmology,Western Europe
32536358,2021,Caution,ethics_bias|regulation|safety_clinical,none_or_unclear|discriminative,Mental Health / Psychiatry,Western Europe
32536509,2021,Caution,replacement,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
32544594,2021,Cautious Optimism,,,Pediatrics,North America
32544635,2021,Cautious Optimism,,,Medical Education,North America
32557490,2021,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
32585216,2021,Cautious Optimism,,,Cardiology,East Asia
32598950,2021,Cautious Optimism,,,Ophthalmology,North America
32598951,2021,Cautious Optimism,,,Ophthalmology,East Asia
32598963,2021,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
32599279,2021,Cautious Optimism,,,Oncology,North America
32602593,2021,Caution,regulation|ethics_bias,none_or_unclear|unclear,Medical Informatics / Digital Health,North America
32606081,2021,Cautious Optimism,,,Ophthalmology,Western Europe
32615232,2021,Cautious Optimism,,,Oncology,Western Europe
32620678,2021,Cautious Optimism,,,Pathology / Laboratory Medicine,Western Europe
32622747,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
32624293,2021,Neutral,,,Oncology,Western Europe
32646768,2021,Advocacy,,,Medical Education,North America
32648252,2021,Cautious Optimism,,,Cardiology,Eastern Europe
32668442,2021,Cautious Optimism,,,Mental Health / Psychiatry,Western Europe
32677603,2021,Cautious Optimism,,,Mental Health / Psychiatry,Western Europe
32681407,2021,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
32694246,2021,Cautious Optimism,,,Pathology / Laboratory Medicine,North America
32700021,2021,Neutral,,,Radiology / Diagnostic Imaging,North America
32712958,2021,Cautious Optimism,,,Neurology / Neuroscience,Western Europe
32715331,2021,Cautious Optimism,,,Surgery,Western Europe
32720083,2021,Cautious Optimism,,,Cardiology,Western Europe
32729810,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
32746367,2021,Cautious Optimism,,,Medical Informatics / Digital Health,Unknown
32746371,2021,Caution,safety_clinical|data_privacy|regulation,none_or_unclear|discriminative,Medical Informatics / Digital Health,Unknown
32759979,2021,Cautious Optimism,,,Pathology / Laboratory Medicine,Western Europe
32763920,2021,Cautious Optimism,,,Pathology / Laboratory Medicine,Western Europe
32767299,2022,Advocacy,,,Radiology / Diagnostic Imaging,Western Europe
32770563,2021,Cautious Optimism,,,Oncology,East Asia
32770786,2021,Caution,safety_clinical,misclassification|discriminative,Obstetrics / Gynecology,North America
32794618,2021,Cautious Optimism,,,Ophthalmology,Latin America / Oceania
32796198,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Unknown
32797308,2021,Caution,safety_clinical|regulation|cognitive,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
32803785,2021,Cautious Optimism,,,Medical Informatics / Digital Health,East Asia
32804846,2021,Cautious Optimism,,,Internal Medicine / Primary Care,Unknown
32805004,2021,Caution,ethics_bias|safety_clinical|regulation,misclassification|discriminative,Medical Informatics / Digital Health,Western Europe
32810611,2021,Cautious Optimism,,,Ophthalmology,North America
32813662,2022,Cautious Optimism,,,Medical Informatics / Digital Health,Unknown
32816750,2021,Cautious Optimism,,,Ophthalmology,North America
32816901,2021,Cautious Optimism,,,Medical Informatics / Digital Health,Latin America / Oceania
32826798,2021,Cautious Optimism,,,Surgery,Western Europe
32830874,2021,Caution,regulation|safety_clinical,none_or_unclear|both,Medical Informatics / Digital Health,North America
32844259,2021,Cautious Optimism,,,Dentistry,Western Europe
32852320,2021,Caution,replacement|cognitive,none_or_unclear|unclear,Medical Informatics / Digital Health,North America
32857202,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
32858548,2021,Cautious Optimism,,,Obstetrics / Gynecology,East Asia
32862314,2022,Cautious Optimism,,,Radiology / Diagnostic Imaging,Middle East / North Africa
32862761,2021,Cautious Optimism,,,Mental Health / Psychiatry,North America
32898686,2021,Cautious Optimism,,,Ophthalmology,Western Europe
32900480,2022,Cautious Optimism,,,Cardiology,Western Europe
32910005,2021,Cautious Optimism,,,Medical Education,North America
32911053,2021,Cautious Optimism,,,Cardiology,Western Europe
32924202,2021,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
32925304,2021,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
32931808,2021,Alarm,safety_clinical|hallucination|ethics_bias,misclassification|discriminative,Dermatology,Western Europe
32935359,2021,Neutral,,,Mental Health / Psychiatry,Western Europe
32935376,2021,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
32940124,2021,Advocacy,,,Medical Informatics / Digital Health,East Asia
32941736,2021,Cautious Optimism,,,Pediatrics,Western Europe
32950507,2021,Neutral,,,Ophthalmology,East Asia
32961010,2021,Advocacy,,,Medical Informatics / Digital Health,North America
32962932,2021,Cautious Optimism,,,Cardiology,East Asia
32969051,2021,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
32974930,2021,Advocacy,,,Oncology,North America
32978285,2021,Cautious Optimism,,,Medical Informatics / Digital Health,North America
32980785,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
32981103,2021,Caution,regulation|safety_clinical,misclassification|discriminative,Medical Informatics / Digital Health,North America
32985324,2021,Cautious Optimism,,,Emergency Medicine / Critical Care,North America
32991359,2021,Cautious Optimism,,,Surgery,Unknown
32991907,2021,Cautious Optimism,,,Pediatrics,North America
32996664,2021,Caution,ethics_bias|existential,none_or_unclear|unclear,Mental Health / Psychiatry,Western Europe
33003217,2021,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
33006018,2021,Caution,hallucination|safety_clinical,none_or_unclear|discriminative,Radiology / Diagnostic Imaging,Middle East / North Africa
33006905,2021,Cautious Optimism,,,Internal Medicine / Primary Care,North America
33007750,2021,Caution,regulation|other,none_or_unclear|unclear,Surgery,Unknown
33010796,2021,Cautious Optimism,,,Ophthalmology,East Asia
33011879,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33016344,2021,Neutral,,,Medical Informatics / Digital Health,Western Europe
33037709,2021,Caution,safety_clinical,misclassification|discriminative,Dermatology,Latin America / Oceania
33038139,2021,Alarm,safety_clinical|hallucination,misclassification|discriminative,Internal Medicine / Primary Care,North America
33039891,2021,Caution,other,none_or_unclear|unclear,Multidisciplinary / Other,Western Europe
33040334,2021,Caution,regulation,misclassification|discriminative,Medical Informatics / Digital Health,North America
33040407,2021,Neutral,,,Dermatology,South/Southeast Asia
33041533,2021,Cautious Optimism,,,Medical Informatics / Digital Health,Western Europe
33045173,2021,Cautious Optimism,,,Pathology / Laboratory Medicine,Western Europe
33051700,2021,Cautious Optimism,,,Medical Informatics / Digital Health,Latin America / Oceania
33057781,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33058806,2021,Cautious Optimism,,,Cardiology,Middle East / North Africa
33059363,2021,Caution,hallucination|safety_clinical,misclassification|discriminative,Pathology / Laboratory Medicine,East Asia
33059955,2021,Caution,replacement|existential,none_or_unclear|generative,Mental Health / Psychiatry,Latin America / Oceania
33063398,2021,Cautious Optimism,,,Dermatology,East Asia
33065195,2021,Cautious Optimism,,,Pathology / Laboratory Medicine,North America
33065274,2021,Caution,regulation|safety_clinical,misclassification|discriminative,Surgery,North America
33065754,2021,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
33068741,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
33087200,2021,Caution,education|ethics_bias|cognitive,none_or_unclear|unclear,Medical Education,Western Europe
33096088,2021,Caution,regulation|safety_clinical,none_or_unclear|discriminative,Medical Informatics / Digital Health,North America
33098123,2021,Cautious Optimism,,,Medical Informatics / Digital Health,East Asia
33100030,2022,Cautious Optimism,,,Internal Medicine / Primary Care,Middle East / North Africa
33118431,2021,Cautious Optimism,,,Dentistry,East Asia
33119903,2021,Cautious Optimism,,,Oncology,North America
33121959,2021,Cautious Optimism,,,Ophthalmology,North America
33139827,2021,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
33140875,2021,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
33145847,2021,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
33146848,2021,Cautious Optimism,,,Ophthalmology,East Asia
33148398,2021,Caution,replacement|ethics_bias|existential,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
33151041,2021,Cautious Optimism,,,Pathology / Laboratory Medicine,North America
33151612,2021,Cautious Optimism,,,Dermatology,North America
33152770,2021,Cautious Optimism,,,Emergency Medicine / Critical Care,Western Europe
33157093,2021,Cautious Optimism,,,Emergency Medicine / Critical Care,North America
33159692,2021,Cautious Optimism,,,Oncology,East Asia
33159824,2021,Advocacy,,,Nursing,South/Southeast Asia
33164284,2021,Caution,replacement|ethics_bias|regulation,none_or_unclear|unclear,Medical Informatics / Digital Health,North America
33167043,2021,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
33172897,2021,Cautious Optimism,,,Pathology / Laboratory Medicine,East Asia
33173196,2021,Caution,safety_clinical|regulation|hallucination,none_or_unclear|discriminative,Mental Health / Psychiatry,Western Europe
33179322,2021,Cautious Optimism,,,Internal Medicine / Primary Care,Western Europe
33180900,2021,Cautious Optimism,,,Oncology,North America
33184470,2021,Cautious Optimism,,,Pathology / Laboratory Medicine,Western Europe
33185298,2021,Neutral,,,Internal Medicine / Primary Care,Western Europe
33188540,2021,Caution,ethics_bias|existential,misclassification|discriminative,Obstetrics / Gynecology,Western Europe
33205591,2021,Cautious Optimism,,,Cardiology,North America
33211147,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
33218590,2021,Cautious Optimism,,,Surgery,North America
33219850,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
33220121,2021,Cautious Optimism,,,Pediatrics,Western Europe
33220494,2021,Caution,ethics_bias|safety_clinical|regulation,misclassification|discriminative,Medical Informatics / Digital Health,North America
33220941,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33222315,2021,Cautious Optimism,,,Pathology / Laboratory Medicine,South/Southeast Asia
33227719,2021,Caution,safety_clinical|regulation,none_or_unclear|discriminative,Medical Informatics / Digital Health,North America
33242635,2022,Cautious Optimism,,,Cardiology,North America
33242932,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33243898,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Unknown
33245914,2021,Caution,regulation|safety_clinical|replacement,none_or_unclear|discriminative,Pathology / Laboratory Medicine,North America
33247346,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33248306,2021,Cautious Optimism,,,Surgery,Western Europe
33259944,2021,Cautious Optimism,,,Medical Informatics / Digital Health,East Asia
33269413,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
33276112,2021,Cautious Optimism,,,Mental Health / Psychiatry,Western Europe
33277724,2021,Cautious Optimism,,,Emergency Medicine / Critical Care,North America
33280893,2021,Cautious Optimism,,,Surgery,East Asia
33285350,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,North America
33289354,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33295676,2021,Cautious Optimism,,,Medical Informatics / Digital Health,North America
33300328,2021,Cautious Optimism,,,Surgery,Western Europe
33300456,2022,Cautious Optimism,,,Medical Informatics / Digital Health,South/Southeast Asia
33307283,2021,Cautious Optimism,,,Ophthalmology,South/Southeast Asia
33308336,2021,Caution,education|cognitive,none_or_unclear|unclear,Medical Education,Western Europe
33309556,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
33309898,2021,Caution,regulation|safety_clinical,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
33313667,2021,Cautious Optimism,,,Pathology / Laboratory Medicine,Unknown
33313792,2021,Cautious Optimism,,,Oncology,North America
33315263,2021,Alarm,ethics_bias,misclassification|discriminative,Medical Informatics / Digital Health,Unknown
33319904,2021,Neutral,,,Medical Informatics / Digital Health,Western Europe
33322997,2021,Cautious Optimism,,,Dentistry,Western Europe
33323492,2021,Cautious Optimism,,,Pediatrics,Unknown
33323564,2021,Cautious Optimism,,,Ophthalmology,South/Southeast Asia
33323681,2021,Cautious Optimism,,,Surgery,North America
33325504,2021,Caution,safety_clinical|regulation,none_or_unclear|discriminative,Medical Informatics / Digital Health,North America
33325514,2021,Neutral,,,Medical Informatics / Digital Health,North America
33331145,2021,Cautious Optimism,,,Mental Health / Psychiatry,Western Europe
33331678,2021,Cautious Optimism,,,Pediatrics,East Asia
33332877,2021,Cautious Optimism,,,Surgery,Western Europe
33332979,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33336385,2021,Neutral,,,Radiology / Diagnostic Imaging,Latin America / Oceania
33338759,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33339468,2021,Caution,safety_clinical|regulation|existential,misclassification|discriminative,Emergency Medicine / Critical Care,Western Europe
33340123,2021,Caution,safety_clinical|ethics_bias|regulation,none_or_unclear|discriminative,Dentistry,Latin America / Oceania
33340404,2021,Caution,safety_clinical|regulation,none_or_unclear|unclear,Medical Informatics / Digital Health,Latin America / Oceania
33346145,2021,Cautious Optimism,,,Dentistry,Middle East / North Africa
33354741,2021,Caution,safety_clinical|cognitive,misclassification|discriminative,Dermatology,Latin America / Oceania
33358138,2021,Caution,data_privacy|ethics_bias|regulation,none_or_unclear|unclear,Medical Informatics / Digital Health,North America
33358195,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Western Europe
33359319,2021,Neutral,,,Medical Informatics / Digital Health,Western Europe
33368981,2021,Cautious Optimism,,,Mental Health / Psychiatry,Eastern Europe
33369050,2021,Alarm,ethics_bias|safety_clinical,misclassification|discriminative,Medical Informatics / Digital Health,Western Europe
33370644,2021,Cautious Optimism,,,Dermatology,Western Europe
33378309,2023,Cautious Optimism,,,Surgery,North America
33383004,2021,Cautious Optimism,,,Cardiology,North America
33384294,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,Unknown
33384838,2021,Cautious Optimism,,,Dentistry,Middle East / North Africa
33384840,2021,Cautious Optimism,,,Dentistry,Middle East / North Africa
33389425,2021,Cautious Optimism,,,Ophthalmology,East Asia
33390088,2021,FAILED,,,Medical Informatics / Digital Health,South/Southeast Asia
33392486,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33393864,2021,Caution,ethics_bias|data_privacy,none_or_unclear|discriminative,Mental Health / Psychiatry,Unknown
33395111,2021,Cautious Optimism,,,Ophthalmology,North America
33395219,2021,Cautious Optimism,,,Ophthalmology,East Asia
33398560,2021,Cautious Optimism,,,Surgery,Middle East / North Africa
33399436,2021,Cautious Optimism,,,Surgery,North America
33401373,2021,Cautious Optimism,,,Medical Informatics / Digital Health,East Asia
33402366,2021,Caution,safety_clinical|regulation,misclassification|discriminative,Ophthalmology,North America
33404698,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33404886,2021,Cautious Optimism,,,Cardiology,North America
33404910,2021,Neutral,,,Oncology,Middle East / North Africa
33407780,2021,Caution,regulation|safety_clinical,none_or_unclear|unclear,Medical Informatics / Digital Health,Western Europe
33409788,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33410568,2021,Cautious Optimism,,,Oncology,North America
33411949,2021,Cautious Optimism,,,Surgery,North America
33413181,2021,Alarm,safety_clinical|regulation,misclassification|discriminative,Medical Informatics / Digital Health,East Asia
33413717,2022,Cautious Optimism,,,Multidisciplinary / Other,North America
33413896,2021,Caution,safety_clinical|regulation,misclassification|discriminative,Radiology / Diagnostic Imaging,North America
33414617,2021,Cautious Optimism,,,Internal Medicine / Primary Care,North America
33415596,2021,Caution,ethics_bias|existential,none_or_unclear|unclear,Medical Informatics / Digital Health,Latin America / Oceania
33420381,2021,Cautious Optimism,,,Medical Informatics / Digital Health,North America
33423009,2021,Caution,safety_clinical|hallucination,misclassification|discriminative,Dermatology,Western Europe
33427680,2021,Alarm,safety_clinical|hallucination,misclassification|generative,Obstetrics / Gynecology,North America
33429441,2021,Cautious Optimism,,,Internal Medicine / Primary Care,East Asia
33430577,2021,Cautious Optimism,,,Radiology / Diagnostic Imaging,East Asia
33432168,2022,Cautious Optimism,,,Ophthalmology,Latin America / Oceania
