pmid,journal,pub_type_simple_5,specialty,country,region,predictive_claim,title
41694518,Frontiers in public health,Review,Multidisciplinary / Other,USA,North America,yes,How AI can be used to promote public and population health.
41276215,The Canadian journal of cardiology,Letter,Pediatrics,Canada,North America,yes,A Custom Artificial Intelligence GPT-4 Model for Pediatric Cardiology: Surpassing the Board Exam Threshold and Transforming Medical Learning.
41499575,The Journal of craniofacial surgery,Research Article,Surgery,USA,North America,yes,Reimagining Care Delivery in Craniofacial Surgery and Beyond: A Multicenter Analysis of How AI Automation Can Reshape Cost Efficiency in US Health Care Across Specialties.
42039741,ACS central science,Review,Medical Informatics / Digital Health,USA,North America,yes,From Prompt to Drug: Toward Pharmaceutical Superintelligence.
41206190,Hand clinics,Review,Medical Informatics / Digital Health,Taiwan,East Asia,yes,Artificial Intelligence-Driven Personalized Medicine.
41392515,Journal of the European Academy of Dermatology and Venereology : JEADV,Review,Dermatology,Germany,Western Europe,yes,Precision dermatology 2050: AI-driven personalized monitoring and individualized treatment.
41722216,Acta psychologica,Research Article,Medical Informatics / Digital Health,China,East Asia,no,How personal anticipations and perceived gratifications influence continuous use intention toward AI-driven chatbots? Moderating roles of perceived innovativeness and active involvement.
40865514,Cell systems,Review,Medical Informatics / Digital Health,USA,North America,yes,Illuminating the universe of enzyme catalysis in the era of artificial intelligence.
41636234,Chemical Society reviews,Review,Medical Informatics / Digital Health,USA,North America,yes,Artificial intelligence-powered nanomedicine.
41551828,World journal of gastroenterology,Review,Internal Medicine / Primary Care,Colombia,Latin America / Oceania,yes,Artificial intelligence in metabolic dysfunction-associated steatotic liver disease: Transforming diagnosis and therapeutic approaches.
41431407,Yonsei medical journal,Research Article,Medical Informatics / Digital Health,South Korea,East Asia,yes,How Does Medical Artificial Intelligence Revolutionize Physician Productivity?
41389441,Pharmacological reviews,Review,Medical Informatics / Digital Health,Australia,Latin America / Oceania,yes,Leading artificial intelligence-driven drug discovery platforms: 2025 landscape and global outlook.
41825996,Dental clinics of North America,Review,Dentistry,USA,North America,yes,ProSocial Artificial Intelligence in Oral Health: A Paradigm Shift.
41667642,Scientific reports,Research Article,Medical Informatics / Digital Health,China,East Asia,yes,Multimodal large language models challenge NEJM image challenge.
41460502,Journal of continuing education in nursing,Research Article,Nursing,USA,North America,yes,AI for Nurses: Did You Know There Is an AI for That?
41826009,Dental clinics of North America,Review,Dentistry,USA,North America,yes,The Convergence of Prosthodontics and ProSocial Artificial Intelligence: Advancing Equity and Excellence in Dental Care.
41431184,Drug development research,Review,Medical Informatics / Digital Health,India,South/Southeast Asia,yes,Mathematical and Artificial Intelligence Techniques in Modern Drug Discovery: A Review.
