pmid,specialty,pub_type_simple_5,journal,title,year
38801724,Oncology,Research Article,Journal of breast imaging,A Prospective Analysis of Screen-Detected Cancers Recalled and Not Recalled by Artificial Intelligence.,2024
38213186,Surgery,Research Article,Spine,Performance of ChatGPT on NASS Clinical Guidelines for the Diagnosis and Treatment of Low Back Pain: A Comparison Study.,2024
39059040,Mental Health / Psychiatry,Research Article,Psychiatry research,Evaluating generative AI responses to real-world drug-related questions.,2024
39120016,Ophthalmology,Research Article,"Journal of refractive surgery (Thorofare, N.J. : 1995)",LASIK Versus PRK Based on Increased Risk of Corneal Haze: Assessing Current Decision-Making Capabilities of Six Artificial Intelligence Models in Refractive Surgery.,2024
37823416,Internal Medicine / Primary Care,Research Article,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,Can Chatbot Artificial Intelligence Replace Infectious Diseases Physicians in the Management of Bloodstream Infections? A Prospective Cohort Study.,2024
39528596,Medical Informatics / Digital Health,Review,NPJ digital medicine,Simulated misuse of large language models and clinical credit systems.,2024
38400777,Pathology / Laboratory Medicine,Research Article,Transfusion,Classification of posttransfusion adverse events using a publicly available artificial intelligence system.,2024
39423004,Medical Informatics / Digital Health,Research Article,JMIR formative research,Fine-Tuned Bidirectional Encoder Representations From Transformers Versus ChatGPT for Text-Based Outpatient Department Recommendation: Comparative Study.,2024
38124357,Medical Informatics / Digital Health,Research Article,Journal of neurosurgical anesthesiology,Utilizing Artificial Intelligence and Chat Generative Pretrained Transformer to Answer Questions About Clinical Scenarios in Neuroanesthesiology.,2024
39437384,Cardiology,Research Article,Journal of medical Internet research,Gender Bias in AI's Perception of Cardiovascular Risk.,2024
38585462,Medical Education,Editorial,Advanced pharmaceutical bulletin,Diagnosis Unreliability of ChatGPT for Journal Evaluation.,2024
38382193,Multidisciplinary / Other,Research Article,Journal of the American Veterinary Medical Association,Two artificial intelligence models underperform on examinations in a veterinary curriculum.,2024
39235364,Neurology / Neuroscience,Review,Movement disorders : official journal of the Movement Disorder Society,"Houston, We Have AI Problem! Quality Issues with Neuroimaging-Based Artificial Intelligence in Parkinson's Disease: A Systematic Review.",2024
39322838,Dermatology,Research Article,Aesthetic plastic surgery,The Potential of Chat-Based Artificial Intelligence Models in Differentiating Between Keloid and Hypertrophic Scars: A Pilot Study.,2024
38284363,Surgery,Research Article,The Journal of orthopaedic and sports physical therapy,Performance of ChatGPT Compared to Clinical Practice Guidelines in Making Informed Decisions for Lumbosacral Radicular Pain: A Cross-sectional Study.,2024
38445975,Emergency Medicine / Critical Care,Research Article,Critical care medicine,Evaluation of ChatGPT in Predicting 6-Month Outcomes After Traumatic Brain Injury.,2024
38764485,Medical Informatics / Digital Health,Research Article,BJA open,Comparison of artificial intelligence large language model chatbots in answering frequently asked questions in anaesthesia.,2024
39133388,Internal Medicine / Primary Care,Letter,Annals of biomedical engineering,Potential Use of ChatGPT for the Treatment of Infectious Diseases in Vulnerable Populations.,2024
37263772,Medical Informatics / Digital Health,Research Article,European journal of hospital pharmacy : science and practice,Performance and risks of ChatGPT used in drug information: an exploratory real-world analysis.,2024
38626142,Cardiology,Research Article,PloS one,ChatGPT provides inconsistent risk-stratification of patients with atraumatic chest pain.,2024
39034382,Radiology / Diagnostic Imaging,Research Article,Emergency radiology,Sociodemographic biases in a commercial AI model for intracranial hemorrhage detection.,2024
39006799,Surgery,Research Article,"Arthroscopy, sports medicine, and rehabilitation",Responses From ChatGPT-4 Show Limited Correlation With Expert Consensus Statement on Anterior Shoulder Instability.,2024
39348189,Emergency Medicine / Critical Care,Research Article,Journal of medical Internet research,Accuracy of a Commercial Large Language Model (ChatGPT) to Perform Disaster Triage of Simulated Patients Using the Simple Triage and Rapid Treatment (START) Protocol: Gage Repeatability and Reproducibility Study.,2024
39502485,Pathology / Laboratory Medicine,Research Article,Digital health,Assessing the accuracy and clinical utility of GPT-4O in abnormal blood cell morphology recognition.,2024
38721744,Pediatrics,Research Article,Pediatric dermatology,Pediatric dermatologists versus AI bots: Evaluating the medical knowledge and diagnostic capabilities of ChatGPT.,2024
38550977,Medical Informatics / Digital Health,Research Article,Health services insights,ChatGPT Versus Medical Professionals: Comment.,2024
38780839,Pediatrics,Research Article,Journal of medical systems,"Art or Artifact: Evaluating the Accuracy, Appeal, and Educational Value of AI-Generated Imagery in DALL·E 3 for Illustrating Congenital Heart Diseases.",2024
38798194,Medical Informatics / Digital Health,Review,Alimentary pharmacology & therapeutics,Systematic review: The use of large language models as medical chatbots in digestive diseases.,2024
39425100,Dentistry,Research Article,BMC oral health,Comparative evaluation of commercially available AI-based cephalometric tracing programs.,2024
38271993,Pediatrics,Research Article,Annals of pediatric endocrinology & metabolism,Clinical validation of a deep-learning-based bone age software in healthy Korean children.,2024
39706600,Medical Informatics / Digital Health,Research Article,BMJ (Clinical research ed.),Age against the machine-susceptibility of large language models to cognitive impairment: cross sectional analysis.,2024
38911166,Medical Informatics / Digital Health,Research Article,RSC medicinal chemistry,Can large language models predict antimicrobial peptide activity and toxicity?,2024
