country,n,critical_pct,ci_lo,ci_hi,ci_width,low_conf_flag
United States,4222,34.462340123164374,32.99384178114638,35.97880151586926,2.984959734722878,False
China,1904,16.176470588235293,14.600840336134455,17.80593487394958,3.2050945378151265,False
United Kingdom,1212,40.5940594059406,37.95379537953795,43.399339933993396,5.445544554455445,False
Germany,742,36.118598382749326,32.74932614555256,39.75741239892183,7.008086253369271,False
Italy,690,26.08695652173913,22.753623188405797,29.42028985507246,6.666666666666664,False
Canada,551,37.74954627949184,33.756805807622506,41.74228675136116,7.985480943738658,False
Turkey,467,34.90364025695932,30.620985010706637,39.400428265524624,8.779443254817988,False
India,461,20.607375271149674,17.136659436008678,24.295010845986983,7.158351409978305,False
South Korea,449,20.489977728285076,16.70378619153675,24.053452115812917,7.349665924276167,False
Australia,405,42.46913580246914,37.77777777777778,47.160493827160494,9.382716049382715,False
Japan,371,18.328840970350406,14.555256064690028,22.371967654986523,7.816711590296496,False
Netherlands,324,44.44444444444444,38.88888888888889,49.691358024691354,10.802469135802461,False
France,306,27.124183006535947,22.54901960784314,32.35294117647059,9.803921568627448,False
Spain,239,25.94142259414226,20.502092050209207,31.380753138075313,10.878661087866107,False
Saudi Arabia,213,24.88262910798122,18.30985915492958,30.985915492957744,12.676056338028165,False
Switzerland,197,39.59390862944163,32.48730964467005,46.192893401015226,13.705583756345177,False
Iran,194,18.04123711340206,12.371134020618557,23.711340206185564,11.340206185567007,False
Israel,181,33.70165745856354,26.519337016574585,40.331491712707184,13.812154696132598,False
Taiwan,173,21.38728323699422,15.606936416184972,27.167630057803464,11.560693641618492,False
Singapore,161,26.70807453416149,19.875776397515526,34.161490683229815,14.285714285714288,False
Brazil,135,21.48148148148148,14.796296296296312,28.14814814814815,13.351851851851837,False
Sweden,119,36.97478991596639,28.550420168067244,45.378151260504204,16.82773109243696,False
Denmark,115,42.608695652173914,33.04347826086956,52.17391304347826,19.130434782608695,False
Poland,113,26.548672566371685,18.58407079646018,34.51327433628318,15.929203539823003,False
Belgium,95,34.73684210526316,25.263157894736842,45.26315789473684,20.0,False
Hong Kong,95,31.57894736842105,21.052631578947366,41.05263157894737,20.000000000000004,False
Ireland,90,41.11111111111111,31.11111111111111,52.22222222222223,21.111111111111118,False
Portugal,87,24.137931034482758,14.942528735632186,33.33333333333333,18.39080459770114,False
Greece,84,28.57142857142857,19.047619047619047,38.095238095238095,19.047619047619047,False
Austria,83,30.120481927710845,20.481927710843372,39.75903614457831,19.277108433734938,False
United Arab Emirates,66,22.727272727272727,13.636363636363635,33.37121212121208,19.73484848484845,False
Thailand,59,22.033898305084744,11.864406779661017,32.20338983050847,20.338983050847453,False
Romania,58,13.793103448275861,5.172413793103448,24.137931034482758,18.96551724137931,False
Norway,55,29.09090909090909,18.181818181818183,41.81818181818181,23.63636363636363,False
Egypt,52,28.846153846153843,17.307692307692307,42.30769230769231,25.0,False
Qatar,50,28.000000000000004,16.0,42.0,26.0,False
Finland,46,34.78260869565217,19.565217391304348,50.0,30.434782608695652,True
Malaysia,39,35.8974358974359,20.51282051282051,51.28205128205128,30.769230769230766,True
Colombia,28,25.0,10.714285714285714,42.857142857142854,32.14285714285714,True
Indonesia,27,33.33333333333333,18.51851851851852,51.85185185185185,33.33333333333333,True
Hungary,27,33.33333333333333,18.51851851851852,51.85185185185185,33.33333333333333,True
South Africa,26,42.30769230769231,23.076923076923077,61.53846153846154,38.46153846153847,True
New Zealand,26,50.0,30.76923076923077,69.23076923076923,38.46153846153845,True
Chile,24,37.5,16.666666666666664,58.333333333333336,41.66666666666667,True
Mexico,24,20.833333333333336,8.333333333333332,37.5,29.166666666666668,True
