specialty,n_ea,n_nawu,ea_crit_pct,ea_ci_lo,ea_ci_hi,nawu_crit_pct,nawu_ci_lo,nawu_ci_hi,delta_pp
Medical Education,188,507,18.09,12.77,23.94,41.03,36.49,45.56,-22.94
Medical Informatics / Digital Health,746,2561,31.37,28.15,34.99,50.18,48.38,52.17,-18.81
Surgery,173,918,17.92,12.14,23.7,31.7,28.65,34.86,-13.78
Radiology / Diagnostic Imaging,568,1188,12.15,9.68,14.96,24.66,22.22,27.36,-12.52
Ophthalmology,200,353,11.0,7.0,15.5,22.95,18.7,27.76,-11.95
Oncology,368,743,11.68,8.42,15.22,23.15,20.19,26.38,-11.46
Dentistry,131,209,16.03,9.92,22.14,27.27,21.53,33.49,-11.24
Internal Medicine / Primary Care,264,579,14.02,9.85,18.56,25.04,21.76,28.67,-11.03
Pathology / Laboratory Medicine,91,299,13.19,6.59,20.88,23.41,18.72,28.1,-10.22
Cardiology,112,397,15.18,8.93,22.32,18.14,14.36,22.17,-2.96
