claim_id,retrieved_pmids_top20,retrieved_scores_top20,top_score
33496428,39725770|41223082|38898116|39276611|39779926|39214943|40607450|41353516|41083453|41073416|41518413|41222246|41593156|41580557|41940108|41806382|41100233|41559415|38888919|40658884,60.727|60.51|60.438|60.418|60.303|60.278|60.177|60.176|60.087|60.047|60.024|59.949|59.916|59.896|59.882|59.882|59.877|59.863|59.856|59.85,60.727
32646768,40455218|40631621|40082894|40742646|42010236|40659237|40488865|39454460|41781097|42053390|41616403|39170856|41104489|38942454|39481214|40495102|40280036|41315100|40082889|40382855,66.743|66.056|65.385|65.344|65.139|64.627|64.625|64.568|64.352|64.228|64.182|64.047|64.025|64.007|63.962|63.929|63.821|63.774|63.759|63.7,66.743
34019957,40055986|40573185|41389441|39776314|39170042|41241791|39458657|39851128|38663579|41185503|39895671|39396920|41445476|41077086|38702711|41664164|38773458|40175042|38140747|39473198,66.923|65.722|65.546|65.178|64.882|64.871|64.87|64.779|64.735|64.691|64.629|64.613|64.486|64.448|64.437|64.429|64.404|64.395|64.315|64.238,66.923
34052390,40810209|41232145|41252130|42008626|41664164|41550702|38141549|41241582|39007164|40228444|40359998|41294650|40307127|40299653|39714567|41437380|41402855|40532181|40387622|41716882,65.085|65.051|64.935|64.783|64.729|64.658|64.656|64.654|64.553|64.546|64.536|64.358|64.303|64.28|64.275|64.265|64.253|64.181|64.16|64.125,65.085
33848616,39171796|40987933|41167995|38773458|41921107|38565582|40127434|40437502|40266673|40073368|40771245|41124689|38491544|41128758|39164452|41178347|39909417|40053779|41188209|39763580,62.608|62.428|62.423|62.414|62.29|62.225|62.174|62.152|62.08|62.059|62.047|61.993|61.965|61.898|61.846|61.838|61.83|61.83|61.8|61.753,62.608
34082064,38480460|41308950|38688389|40871773|40975956|42075869|41729172|41327606|39360574|38989644|40795861|39105416|40705787|39514601|38419357|41700655|40690490|40038141|40629057|41676970,65.116|64.915|64.688|64.585|64.515|64.406|64.294|64.204|64.144|64.071|63.921|63.876|63.763|63.759|63.752|63.66|63.539|63.495|63.443|63.439,65.116
33740447,38037121|40265391|40466336|41348251|39147901|41518203|40762974|40428059|40375359|41664164|38190108|38835075|39962436|38763986|40073368|41595426|39794311|41071609|41094484|41221536,64.196|63.594|63.591|63.581|63.416|63.201|63.164|63.142|63.11|63.068|63.064|63.037|63.012|62.977|62.96|62.942|62.935|62.904|62.858|62.801,64.196
32961010,41725143|41037050|40265391|41573270|38997240|41206190|41371937|40330081|41961172|41010041|39147901|41971387|41162377|41266662|40147701|41595426|41623885|40762974|42042558|40764831,65.697|65.509|64.648|64.568|64.505|64.407|64.306|64.303|64.213|64.211|64.182|64.069|64.014|64.011|63.905|63.848|63.833|63.826|63.823|63.8,65.697
34397469,39098601|39536965|39243960|40930297|40518333|38258658|41576388|41289855|41960068|39992712|42029588|38355499|38733021|40592818|38409178|40220757|38453558|41650180|39083274|41431407,66.719|64.505|64.218|64.187|64.134|64.012|64.0|63.957|63.853|63.801|63.671|63.544|63.503|63.346|63.34|63.222|63.216|63.081|62.843|62.842,66.719
33731170,41008680|41701283|40307127|38646706|38179884|40823629|38900376|37501529|39836377|40204094|37921030|38748507|39929018|41147250|40441444|39694737|39703759|41384695|38159301|40993310,65.402|64.98|64.783|64.718|64.57|64.472|64.425|64.384|64.38|64.36|64.359|64.298|64.274|64.252|64.242|64.239|64.197|64.132|64.108|64.098,65.402
33731170-2,41124689|40615993|40103737|40759486|40523280|39333515|39125545|40825229|40119271|41147250|39899377|40736784|40062251|41700404|38605668|41292539|40484942|40684235|40448112|41945920,68.121|67.959|67.243|67.234|67.205|67.203|67.159|67.12|67.1|67.022|66.742|66.687|66.586|66.54|66.52|66.489|66.456|66.389|66.388|66.367,68.121
33447941,38878397|39328133|38991316|41937516|39458657|41388211|40752946|40958194|39166418|39167298|39252670|38870728|41731018|39895671|38443632|38874046|40321117|37013913|39097366|40353469,65.057|64.65|64.505|64.499|64.202|64.167|64.16|64.14|64.097|64.053|64.032|64.014|64.013|63.997|63.993|63.979|63.955|63.928|63.89|63.844,65.057
33529363,39446076|38893630|40398671|40554318|40466336|40308831|41289803|41443971|38702711|41024088|40900695|40266673|41751160|41573270|37824325|39211895|38538227|41489013|41845047|40764831,64.295|63.533|63.178|63.164|63.085|62.848|62.818|62.773|62.704|62.642|62.568|62.556|62.523|62.505|62.481|62.459|62.408|62.376|62.352|62.343,64.295
33937332,38492997|39290197|41350712|38252138|41633044|39929749|40884685|41437780|39601401|40593633|40008497|40676103|40835665|39421372|39775089|41463633|37926662|41454765|39676518|38780484,61.243|61.194|61.05|61.033|60.847|60.801|60.736|60.623|60.538|60.41|60.392|60.343|60.337|60.31|60.283|60.247|60.212|60.174|60.158|60.137,61.243
34064710,38573545|40994951|40489020|41096056|41316410|41681922|41688098|38722932|38997240|40865649|41053665|41953703|41241582|40682078|40986160|40804880|40322940|40441737|38556123|40940896,67.876|67.057|66.894|66.82|66.119|65.94|65.783|65.779|65.71|65.688|65.643|65.62|65.591|65.539|65.516|65.516|65.467|65.313|65.285|65.284,67.876
34882190,41008680|40767217|41200923|39056632|40449898|38987215|40406513|38311312|41921369|40717060|41251552|38958517|40633409|41961172|41002311|39059212|39954999|40306530|41580557|41524988,66.207|65.233|65.2|65.102|64.657|64.394|64.311|64.091|64.08|64.077|64.051|64.039|63.932|63.913|63.901|63.88|63.816|63.814|63.791|63.752,66.207
33929707,39145488|40762731|39970246|38277274|39076760|41795058|39137277|41993650|39776281|37976868|40614788|39860775|38231455|40455039|40938134|38391608|38276134|40473198|38401027|40798457,67.907|67.725|67.668|67.579|67.173|66.602|66.301|66.294|65.793|65.627|65.619|65.608|65.39|65.315|65.145|65.058|64.991|64.891|64.806|64.797,67.907
32974930,39499409|40217230|39007164|41533277|41664164|41162240|41252130|38594947|38554271|40388683|40788808|40968272|41232145|40913664|40283559|37981516|40803949|40026054|41252129|40504358,68.042|67.087|66.364|66.337|66.111|65.699|65.666|65.65|65.636|65.487|65.46|65.435|65.386|65.339|65.338|65.328|65.325|65.302|65.299|65.29,68.042
33851753,39247846|40579487|40088712|39806746|39302783|40907530|40997041|41051633|41290209|38951363|39163186|40037940|39419638|40232895|40394275|39994077|41201741|41044347|39433562|39860555,66.579|66.205|65.803|65.662|65.473|65.367|65.347|65.253|65.155|65.089|65.003|64.717|64.535|64.514|64.453|64.426|64.352|64.272|64.197|64.186,66.579
33159824,40744238|41301419|41680105|40516836|41145883|41595426|38997240|41583564|40330081|41740029|40716942|39147901|39418098|38288793|41961172|41781638|41398578|40577785|41655254|39999982,66.126|65.759|63.844|63.825|63.459|63.394|62.926|62.888|62.76|62.736|62.582|62.579|62.476|62.436|62.228|62.215|62.171|62.143|62.07|62.01,66.126
34370272,40838224|40769449|40967442|41467190|41628715|40995078|40299653|40457408|40430173|40683367|40754782|39629887|40345002|38553633|39330017|38179884|39502698|38345695|40992526|41316410,68.479|67.37|67.292|67.269|67.143|67.086|66.974|66.94|66.91|66.857|66.852|66.787|66.739|66.699|66.64|66.595|66.567|66.483|66.451|66.442,68.479
35199553,38930784|38874046|40008227|41696324|39797502|38288793|41592930|41614721|38382465|39396920|41011141|38702711|41750530|40893437|39473198|40791911|41630488|41588523|41260788|41287252,67.454|66.948|66.858|66.639|66.592|66.475|66.373|66.297|66.205|66.123|65.995|65.894|65.837|65.832|65.792|65.705|65.679|65.659|65.651|65.637,67.454
32940124,41389441|42075869|41990130|40451590|38291217|38646652|39473198|40573185|38288793|40055986|41241791|42023084|40983121|40869045|41011141|39170042|40997280|41016012|38930784|39147901,65.145|64.915|64.694|64.693|64.594|64.533|64.494|64.424|64.376|64.349|64.309|64.245|64.24|64.11|64.051|64.044|63.97|63.969|63.924|63.922,65.145
34471174,39199716|39796659|39088883|40912058|38742379|40476369|38611119|41043135|40372368|38749327|38158385|41315984|39217816|38798885|39806282|38296020|41127892|38881051|41228240|40339039,65.191|65.102|65.051|65.033|64.855|64.732|64.424|64.413|64.276|64.078|64.016|63.964|63.961|63.886|63.866|63.818|63.815|63.795|63.79|63.73,65.191
34247564,41648057|41588523|41260781|40486280|41970029|40099393|41765716|40374369|38330826|41260782|42006621|41260788|38715181|40030577|40176367|39989008|41057976|40582721|41181603|41814991,67.983|67.484|67.461|67.16|66.991|66.925|66.909|66.89|66.548|66.49|66.376|66.355|66.342|66.019|65.906|65.849|65.718|65.637|65.544|65.397,67.983
35225723,38798135|38263844|39718209|40849878|40182028|41308315|40164355|38211462|37898437|39626092|41344027|38918124|39321595|40664228|41505904|39025113|41049849|41976837|38534488|37996085,64.853|64.522|64.218|64.2|64.143|64.016|63.94|63.847|63.84|63.82|63.811|63.72|63.707|63.705|63.642|63.619|63.617|63.612|63.588|63.588,64.853
35031822,40089747|39001283|40608222|41937516|38646652|37769940|40218243|41899545|39848295|39194444|40639749|38367570|41200923|38285239|39167298|40061474|41226009|39083361|40433910|40062251,64.687|64.651|64.27|64.215|64.214|64.085|63.895|63.676|63.645|63.626|63.582|63.48|63.467|63.453|63.372|63.361|63.355|63.354|63.343|63.332,64.687
35187568,40413058|40888973|41711077|40116893|40604021|39522129|41866890|38893630|38752904|41326714|40053779|39931024|40725616|40695457|40423076|38562492|41246140|41052498|40063554|41524056,69.928|69.843|68.699|68.698|68.444|68.329|68.266|68.223|68.122|68.1|68.088|68.043|68.043|68.019|67.989|67.955|67.946|67.691|67.679|67.616,69.928
35609670,41077086|40650598|40823482|38015744|39703759|41702690|40021243|39384182|38639679|41025068|41161984|39531100|38037121|38102068|41247494|41384695|41876288|38292297|38095605|38646706,65.701|65.436|65.321|65.143|64.869|64.868|64.537|64.491|64.468|64.417|64.39|64.258|64.176|64.163|64.14|64.018|64.0|63.998|63.912|63.877,65.701
35909280,40573185|40820426|41241791|39473198|40360908|39895671|39173629|41299184|39458657|41185503|41614721|40893437|40626099|38878397|39851128|40008227|41403729|39833407|40983121|39504288,69.334|69.024|68.988|68.972|68.955|68.952|68.772|68.687|68.657|68.421|68.402|68.392|68.327|68.267|68.237|68.163|68.122|68.06|67.975|67.928,69.334
35608227,39097187|39396499|41436155|41505790|41463646|40927097|38171712|39322420|39894069|41269260|41159811|38893630|41701924|40961819|39087582|39702050|39665137|40436231|39192003|38554727,64.415|64.222|63.92|63.722|63.722|63.67|62.906|62.862|62.838|62.637|62.594|62.557|62.552|62.474|62.179|62.149|62.142|62.129|62.097|62.092,64.415
35872988,41919969|38471009|38183676|39592107|41082366|41247494|41308050|41104470|40487762|41813232|40683367|41647744|38123878|37979006|37811866|41347125|40472820|39054035|40988772|39137085,69.243|68.191|67.482|67.176|66.516|66.479|66.373|66.24|66.168|66.037|65.977|65.9|65.855|65.713|65.692|65.677|65.671|65.505|65.46|65.429,69.243
34954571,40721338|40836794|40490689|41775410|40119271|41875027|41719551|38740483|41106815|41081347|39038983|41094888|41124689|39970436|40802036|41342429|41887627|40518257|40971600|40883377,64.548|64.467|64.163|63.879|63.773|63.655|63.586|63.44|63.33|63.015|62.951|62.883|62.848|62.836|62.645|62.635|62.607|62.577|62.572|62.561,64.548
35691440,40165577|39976703|41270992|38866884|38901544|39255988|39066765|38373837|40338060|39434367|41436332|40685230|37515632|37938383|38479496|40061904|41469289|39079601|41872396|38499053,65.617|65.323|64.916|64.775|64.642|64.59|64.588|64.568|64.411|64.411|64.344|64.337|64.308|64.285|64.276|64.263|64.181|64.18|64.127|64.058,65.617
36142600,39343099|40573185|40547666|40331045|39166418|39493413|41454006|39800465|40285487|39576143|40739256|38713378|41075423|41664164|40000584|39253942|41011141|38818116|39271278|38354844,61.038|60.866|60.782|60.648|60.614|60.5|60.487|60.457|60.41|60.314|60.301|60.237|60.166|60.134|60.13|60.109|60.093|60.093|60.067|60.027,61.038
35302963,41885513|38007205|40930109|40947846|40172087|40824572|41103258|40454290|41899089|38985398|40479850|36740609|40323244|38466797|37695448|39451101|40348281|41027290|41245704|39044277,67.411|65.968|65.53|64.755|64.669|64.622|64.439|64.287|64.251|64.193|64.147|64.096|64.089|64.031|64.019|63.955|63.862|63.798|63.79|63.766,67.411
34602525,39552745|38758931|40248921|40191920|39073570|41160630|42042558|39455192|41632854|41629312|41116068|38846068|38480746|39489837|38732342|40373295|41107882|39158472|40662528|39860034,67.041|66.88|66.721|66.546|66.501|66.172|66.147|66.144|66.029|66.011|65.802|65.711|65.696|65.63|65.599|65.562|65.499|65.478|65.471|65.468,67.041
34602525-2,41015943|42075869|41003479|41516041|41458498|40120182|39835290|41751160|41826154|41492841|39657122|40765252|38927646|40466336|39924997|41260788|40617081|41392045|41461245|38554727,63.168|62.651|62.448|62.314|62.284|61.687|61.602|61.541|61.506|61.506|61.439|61.321|61.304|61.259|61.252|61.246|61.232|61.225|61.198|61.172,63.168
34972616,38231455|40924241|41810390|39076760|39103568|40940589|39216720|40825229|38277274|41188635|39989345|40816000|40567249|39499368|39148814|41182461|40172087|41246099|42058011|41458002,68.953|68.299|67.534|67.163|66.83|66.829|66.727|66.641|66.579|66.563|66.561|66.479|66.432|66.42|66.22|65.998|65.99|65.989|65.974|65.952,68.953
35039425,39381244|39545614|38909180|38262986|38740483|41236701|41259713|40095575|40420080|41512180|41869620|40862319|38285931|39718728|40720809|39707327|41864789|39760779|40680319|41894543,64.814|64.696|64.471|64.145|64.12|64.049|64.043|64.025|64.001|63.992|63.926|63.882|63.842|63.821|63.768|63.753|63.742|63.715|63.67|63.654,64.814
36143468,38789385|39056632|40021723|40938134|40489020|40389552|40089758|38573545|39761351|41299560|38391246|41472345|41147250|40799168|38958517|41174934|39744873|39010830|41050883|41785281,67.319|66.937|66.77|66.635|66.616|66.369|66.367|66.26|66.198|66.121|66.089|65.759|65.725|65.689|65.651|65.641|65.575|65.573|65.454|65.443,67.319
36143468-2,40101473|40516836|41671993|41587566|41319741|41600319|40467887|39601963|40865514|40592020|41475237|41666724|40988303|41305053|40162738|40907614|40771216|39933666|40569466|39655263,65.744|65.08|64.83|64.501|64.22|64.207|64.204|64.087|64.059|63.915|63.898|63.888|63.869|63.854|63.837|63.79|63.762|63.749|63.734|63.724,65.744
34954220,39186968|38506792|37713220|41010723|39071920|40773411|39149954|38391608|38302908|39214457|38625838|38092938|40925861|40569941|39452568|40938134|38514852|40217589|39879089|40626794,68.205|68.117|67.925|67.922|67.796|67.486|67.478|67.453|67.378|67.153|67.043|66.995|66.94|66.901|66.732|66.714|66.567|66.551|66.317|66.221,68.205
35699583,38728282|39866564|40113848|39915847|40031562|41812081|39332687|38213186|40464882|40707791|41212429|40978326|41746783|39561359|41868294|38289669|41785453|41066627|40832454|41755069,67.564|67.496|67.352|67.307|67.272|67.243|67.066|67.046|66.97|66.956|66.686|66.683|66.66|66.434|66.422|66.378|66.266|66.145|66.082|66.025,67.564
36080827,41961172|38573545|38773458|40021723|39330017|39714567|40457408|40865649|38141549|38702711|41708854|38396223|39761351|40769650|41147250|39590580|39197222|41252130|39708670|38554271,63.635|63.019|62.737|62.7|62.601|62.535|62.534|62.453|62.446|62.442|62.43|62.375|62.371|62.323|62.266|62.241|62.229|62.224|62.208|62.196,63.635
32767299,40983921|40864882|41367158|41404490|40183679|41871224|41528602|39032010|40771241|38317019|39614404|38148925|39394122|41231298|41663107|38720865|38235841|38525504|42027212|39821209,63.715|63.565|63.564|63.395|63.235|63.216|63.158|63.112|63.042|62.988|62.977|62.951|62.941|62.91|62.898|62.896|62.886|62.85|62.841|62.84,63.715
36514232,40173266|41745975|41742540|40561905|38843690|39638756|38431128|39933254|41742536|40431497|40145983|40107235|39919380|38678576|41681390|41868387|40972630|41961172|38911678|41388461,70.033|68.92|68.557|68.437|68.364|68.178|67.878|67.802|67.79|67.604|67.503|67.311|67.272|67.123|66.867|66.766|66.722|66.633|66.491|66.425,70.033
37466892,41089865|40687277|40021674|40754806|40525589|39276483|41413359|40456953|41547796|40881929|41499904|41794780|41512419|40597244|41908809|38718518|39940850|39232341|41581959|40481455,66.738|66.492|66.027|65.853|65.844|65.836|65.821|65.525|65.521|65.441|65.345|65.304|65.264|65.221|65.105|65.041|65.02|64.995|64.995|64.988,66.738
35965155,39096946|41781096|40742646|41899545|40552997|38682670|39475198|37769940|41266222|39653370|41251552|40875087|41474993|40174629|41530420|40579558|39291941|40707732|39001283|40971485,66.176|65.799|65.566|65.52|65.518|65.471|65.464|65.423|65.216|65.208|65.139|65.081|65.068|65.015|65.009|64.983|64.908|64.888|64.853|64.829,66.176
