pmid,pub_year,journal,pub_type_simple_5,specialty,title,abstract
33496428,2021,Academic medicine : journal of the Association of American Medical Colleges,Research Article,Medical Education,Machine Learning: The Next Paradigm Shift in Medical Education.,"Machine learning (ML) algorithms are powerful prediction tools with immense potential in the clinical setting. There are a number of existing clinical tools that use ML, and many more are in development. Physicians are important stakeholders in the health care system, but most are not equipped to make informed decisions regarding deployment and application of ML technologies in patient care. It is of paramount importance that ML concepts are integrated into medical curricula to position physicians to become informed consumers of the emerging tools employing ML. This paradigm shift is similar to the evidence-based medicine (EBM) movement of the 1990s. At that time, EBM was a novel concept; now, EBM is considered an essential component of medical curricula and critical to the provision of high-quality patient care. ML has the potential to have a similar, if not greater, impact on the practice of medicine. As this technology continues its inexorable march forward, educators must continue to evaluate medical curricula to ensure that physicians are trained to be informed stakeholders in the health care of tomorrow."
32646768,2021,Academic radiology,Research Article,Medical Education,The TechnoPhysics Year: Transformation of Diagnostic Radiology's Clinical Year as a Matter of Necessity.,"Given that artificial intelligence and machine learning is now a reality of modern existence, rapidly being applied to medicine, and especially radiology, we submit a new educational perspective. By codifying technology education during the diagnostic radiology internship, we believe it is not only possible but necessary, to reframe the identity of diagnostic radiology. This paper describes the restructuring of the radiology clinical internship, limiting clinical rotations to high-yield essentials, thereby allowing for the introduction of data and technology science, and comprehensive medical physics training. By linking modality-immersion based training with the physics of each technology, we postulate a more thorough understanding and, ultimately, the mastery of current and future technological innovations. Concurrently we advocate for the study of artificial intelligence and machine learning in order to understand how radiologists can apply this technology to help patients on the precision and population health levels. This training would allow interns to spend the majority of their time under the umbrella of a radiology department, in lieu of multiple rotations on an assortment of clinical services. An in-depth technology and physics exam at the end of the internship would be a natural transition to the start of the R1 year, allowing for the application of this newly attained knowledge throughout their residency. Diagnostic radiologists have led medicine into the digital era, and now we should lead the medical community into this transformational era as the ""Data-Driven Physician"" of the 21st century."
34019957,2021,Advanced drug delivery reviews,Review,Medical Informatics / Digital Health,Harnessing artificial intelligence for the next generation of 3D printed medicines.,"Artificial intelligence (AI) is redefining how we exist in the world. In almost every sector of society, AI is performing tasks with super-human speed and intellect; from the prediction of stock market trends to driverless vehicles, diagnosis of disease, and robotic surgery. Despite this growing success, the pharmaceutical field is yet to truly harness AI. Development and manufacture of medicines remains largely in a 'one size fits all' paradigm, in which mass-produced, identical formulations are expected to meet individual patient needs. Recently, 3D printing (3DP) has illuminated a path for on-demand production of fully customisable medicines. Due to its flexibility, pharmaceutical 3DP presents innumerable options during formulation development that generally require expert navigation. Leveraging AI within pharmaceutical 3DP removes the need for human expertise, as optimal process parameters can be accurately predicted by machine learning. AI can also be incorporated into a pharmaceutical 3DP 'Internet of Things', moving the personalised production of medicines into an intelligent, streamlined, and autonomous pipeline. Supportive infrastructure, such as The Cloud and blockchain, will also play a vital role. Crucially, these technologies will expedite the use of pharmaceutical 3DP in clinical settings and drive the global movement towards personalised medicine and Industry 4.0."
34052390,2021,Biochimica et biophysica acta. Reviews on cancer,Review,Oncology,The potential of AI in cancer care and research.,"Current applications of artificial intelligence (AI), machine learning, and deep learning in cancer research and clinical care are highly diverse-from aiding radiologists in reading medical images to predicting oncoprotein folding and dynamics. The list of available AI-based tools is growing rapidly and will only continue to expand. With the immense potential for AI to advance cancer research and clinical care, the National Cancer Institute (NCI) has a responsibility to consider and support the development and evaluation of such technologies. NCI's current involvement in AI research spans the spectrum of development, implementation, and assessment. That includes generating large, publicly available, curated datasets; shifting the culture of data sharing; training the next generation of scientists in both AI and cancer sciences; fostering interdisciplinary collaborations; investing in research to improve AI methods and models that are designed specifically for cancer; widening access to computing power; procuring computer architecture for future developments; and assuring AI research and technologies follow ethical principles. In addition to a broad overview of AI applications in cancer research and care, and NCI's ongoing AI-based activities, this Perspective outlines NCI's four priority areas for future investment of cancer-focused AI development."
33848616,2021,Biochimica et biophysica acta. Reviews on cancer,Review,Oncology,Core services that power AI-driven transformation in cancer research and care.,"This review captures some key lessons learned in the course of helping some of America's leading healthcare AI innovators achieve scale and sustained impact in complex research and care delivery ecosystems. AI innovators may find it useful to access core services to form effective collaborations, find and manage the right data and technology, incentivize and regulate partnerships, demonstrate they can improve lives, and create self-sustaining networks by redistributing realized value."
34082064,2021,Biochimica et biophysica acta. Reviews on cancer,Review,Oncology,The case for AI-driven cancer clinical trials - The efficacy arm in silico.,"Pharmaceutical agents in oncology currently have high attrition rates from early to late phase clinical trials. Recent advances in computational methods, notably causal artificial intelligence, and availability of rich clinico-genomic databases have made it possible to simulate the efficacy of cancer drug protocols in diverse patient populations, which could inform and improve clinical trial design. Here, we review the current and potential use of in silico trials and causal AI to increase the efficacy and safety of traditional clinical trials. We conclude that in silico trials using causal AI approaches can simulate control and efficacy arms, inform patient recruitment and regimen titrations, and better enable subgroup analyses critical for precision medicine."
33740447,2021,Cell,Research Article,Medical Informatics / Digital Health,Precision medicine in 2030-seven ways to transform healthcare.,"Precision medicine promises improved health by accounting for individual variability in genes, environment, and lifestyle. Precision medicine will continue to transform healthcare in the coming decade as it expands in key areas: huge cohorts, artificial intelligence (AI), routine clinical genomics, phenomics and environment, and returning value across diverse populations."
32961010,2021,Clinical and translational science,Review,Medical Informatics / Digital Health,"Precision Medicine, AI, and the Future of Personalized Health Care.","The convergence of artificial intelligence (AI) and precision medicine promises to revolutionize health care. Precision medicine methods identify phenotypes of patients with less-common responses to treatment or unique healthcare needs. AI leverages sophisticated computation and inference to generate insights, enables the system to reason and learn, and empowers clinician decision making through augmented intelligence. Recent literature suggests that translational research exploring this convergence will help solve the most difficult challenges facing precision medicine, especially those in which nongenomic and genomic determinants, combined with information from patient symptoms, clinical history, and lifestyles, will facilitate personalized diagnosis and prognostication."
34527076,2021,Computational and mathematical methods in medicine,Review,Medical Informatics / Digital Health,Influential Usage of Big Data and Artificial Intelligence in Healthcare.,"Artificial intelligence (AI) is making computer systems capable of executing human brain tasks in many fields in all aspects of daily life. The enhancement in information and communications technology (ICT) has indisputably improved the quality of people's lives around the globe. Especially, ICT has led to a very needy and tremendous improvement in the health sector which is commonly known as electronic health (eHealth) and medical health (mHealth). Deep machine learning and AI approaches are commonly presented in many applications using big data, which consists of all relevant data about the medical health and diseases which a model can access at the time of execution or diagnosis of diseases. For example, cardiovascular imaging has now accurate imaging combined with big data from the eHealth record and pathology to better characterize the disease and personalized therapy. In clinical work and imaging, cancer care is getting improved by knowing the tumor biology and helping in the implementation of precision medicine. The Markov model is used to extract new approaches for leveraging cancer. In this paper, we have reviewed existing research relevant to eHealth and mHealth where various models are discussed which uses big data for the diagnosis and healthcare system. This paper summarizes the recent promising applications of AI and big data in medical health and electronic health, which have potentially added value to diagnosis and patient care."
34397469,2021,Current opinion in cardiology,Review,Surgery,The cardiac surgeon's guide to artificial intelligence.,"PURPOSE OF REVIEW: Artificial intelligence is the ability for machines to perform intelligent tasks. Artificial intelligence is already penetrating many aspects of medicine including cardiac surgery. Here, we offer a platform introduction to artificial intelligence for cardiac surgeons to understand the implementations of this transformative tool. RECENT FINDINGS: Artificial intelligence has contributed greatly to the automation of cardiac imaging, including echocardiography, cardiac computed tomography, cardiac MRI and most recently, in radiomics. There are also several artificial intelligence based clinical prediction tools that predict complex outcomes after cardiac surgery. Waveform analysis, specifically, automated electrocardiogram analysis, has seen significant strides with promise in wearables and remote monitoring. Experimentally, artificial intelligence has also entered the operating room in the form of augmented reality and automated robotic surgery. SUMMARY: Artificial intelligence has many potential exciting applications in cardiac surgery. It can streamline physician workload and help make medicine more human again by placing the physician back at the bedside. Here, we offer cardiac surgeons an introduction to this transformative tool so that they may actively participate in creating clinically relevant implementations to improve our practice."
