specialty,n_papers,low_confidence,confab_pct,misc_pct,both_fm_pct,none_unclear_pct,confab_share_incl_both,confab_share_ci_lo,confab_share_ci_hi,gen_pct,discr_pct,both_mt_pct,unclear_mt_pct,gen_share_incl_both,gen_share_ci_lo,gen_share_ci_hi,critical_rate_pct,fda_devices,n_papers
Medical Informatics / Digital Health,1730,False,6.011560693641618,31.84971098265896,4.4508670520231215,57.6878612716763,10.46242774566474,9.017341040462428,11.907514450867051,36.1849710982659,26.242774566473987,5.433526011560693,32.138728323699425,41.61849710982659,39.304913294797686,43.75867052023121,44.93889785566059,0.0,1730
Radiology / Diagnostic Imaging,423,False,3.309692671394799,70.44917257683215,5.4373522458628845,20.803782505910164,8.747044917257684,6.1465721040189125,11.583924349881796,28.368794326241137,54.1371158392435,8.747044917257684,8.747044917257684,37.11583924349882,32.38770685579196,41.843971631205676,21.253012048192772,1094.0,423
Surgery,371,False,9.433962264150944,61.725067385444746,9.164420485175203,19.67654986522911,18.59838274932615,14.81805929919138,22.371967654986523,72.77628032345014,12.93800539083558,4.5822102425876015,9.703504043126685,77.35849056603774,73.03908355795149,81.6711590296496,28.918169209431344,12.0,371
Medical Education,357,False,9.523809523809524,19.88795518207283,4.481792717086835,66.1064425770308,14.005602240896359,10.644257703081232,17.647058823529413,57.14285714285714,3.081232492997199,3.361344537815126,36.41456582633053,60.50420168067227,55.46218487394958,65.54621848739495,35.130111524163574,0.0,357
Oncology,269,False,4.089219330855019,60.223048327137555,5.947955390334572,29.739776951672862,10.03717472118959,6.691449814126393,13.754646840148698,44.237918215613384,37.174721189591075,7.806691449814126,10.780669144981413,52.04460966542751,46.09665427509294,57.99256505576208,19.662921348314608,0.0,269
Mental Health / Psychiatry,237,False,4.641350210970464,31.645569620253166,4.219409282700422,59.49367088607595,8.860759493670887,5.474683544303808,13.080168776371309,49.36708860759494,16.877637130801688,9.70464135021097,24.050632911392405,59.07172995780591,52.742616033755276,65.41139240506328,51.340206185567006,0.0,237
Internal Medicine / Primary Care,233,False,2.1459227467811157,64.8068669527897,4.721030042918455,28.32618025751073,6.866952789699571,3.862660944206009,9.871244635193133,55.793991416309005,21.030042918454935,8.15450643776824,15.021459227467812,63.948497854077246,57.5107296137339,69.52789699570815,22.470904207699192,24.0,233
Dentistry,180,False,3.888888888888889,75.55555555555556,5.555555555555555,15.0,9.444444444444445,5.555555555555555,13.88888888888889,60.55555555555555,26.111111111111114,2.7777777777777777,10.555555555555555,63.33333333333333,56.097222222222236,70.55555555555556,24.834874504623514,5.0,180
Ophthalmology,131,False,4.580152671755725,67.17557251908397,10.687022900763358,17.557251908396946,15.267175572519083,9.16030534351145,21.374045801526716,54.19847328244275,38.93129770992366,1.5267175572519083,5.343511450381679,55.725190839694655,47.32824427480916,64.12213740458014,18.41059602649007,10.0,131
Nursing,122,False,5.737704918032787,15.573770491803279,0.819672131147541,77.8688524590164,6.557377049180328,2.459016393442623,11.475409836065573,33.60655737704918,4.098360655737705,2.459016393442623,59.83606557377049,36.0655737704918,27.84836065573772,45.08196721311475,42.955326460481096,0.0,122
Emergency Medicine / Critical Care,103,False,3.8834951456310676,53.398058252427184,6.796116504854369,35.92233009708738,10.679611650485436,4.854368932038835,16.50485436893204,45.63106796116505,27.184466019417474,9.70873786407767,17.475728155339805,55.33980582524272,45.63106796116505,65.0485436893204,28.455284552845526,26.0,103
Cardiology,97,False,1.0309278350515463,72.16494845360825,5.154639175257731,21.649484536082475,6.185567010309278,2.0618556701030926,11.34020618556701,38.144329896907216,49.48453608247423,4.123711340206185,8.24742268041237,42.2680412371134,32.98969072164948,51.57216494845358,16.798732171156892,136.0,97
Pediatrics,95,False,2.1052631578947367,66.3157894736842,3.1578947368421053,28.421052631578945,5.2631578947368425,1.0526315789473684,10.526315789473683,53.68421052631579,31.57894736842105,5.263157894736842,9.473684210526317,58.94736842105263,49.473684210526315,68.42105263157895,25.510204081632654,0.0,95
Dermatology,91,False,2.197802197802198,63.73626373626373,6.593406593406594,27.472527472527474,8.791208791208792,3.296703296703297,15.384615384615385,29.67032967032967,46.15384615384615,10.989010989010989,13.186813186813188,40.65934065934066,30.76923076923077,50.54945054945055,36.544850498338874,0.0,91
Pathology / Laboratory Medicine,90,False,2.2222222222222223,52.22222222222223,3.3333333333333335,42.22222222222222,5.555555555555555,1.1111111111111112,11.11111111111111,27.77777777777778,51.11111111111111,6.666666666666667,14.444444444444443,34.44444444444444,24.444444444444443,43.333333333333336,20.74235807860262,50.0,90
Neurology / Neuroscience,85,False,4.705882352941177,64.70588235294117,5.88235294117647,24.705882352941178,10.588235294117647,4.705882352941177,17.647058823529413,48.23529411764706,32.94117647058823,10.588235294117647,8.235294117647058,58.8235294117647,48.23529411764706,69.41176470588235,24.43820224719101,65.0,85
Multidisciplinary / Other,68,False,1.4705882352941175,23.52941176470588,2.941176470588235,72.05882352941177,4.411764705882352,0.0,8.860294117647026,17.647058823529413,20.588235294117645,4.411764705882353,57.35294117647059,22.058823529411768,11.76470588235294,30.88235294117647,32.758620689655174,4.0,68
Obstetrics / Gynecology,63,False,3.1746031746031744,63.49206349206349,1.5873015873015872,31.746031746031743,4.761904761904762,0.0,11.11111111111111,38.095238095238095,44.44444444444444,3.1746031746031744,14.285714285714285,41.26984126984127,28.57142857142857,52.38095238095239,26.69491525423729,4.0,63
