specialty,n_alarm,low_confidence,confab_pct,misc_pct,both_fm_pct,none_unclear_pct,confab_share_incl_both,confab_share_ci_lo,confab_share_ci_hi,gen_pct,discr_pct,both_mt_pct,unclear_mt_pct,gen_share_incl_both,gen_share_ci_lo,gen_share_ci_hi,critical_rate_pct,fda_devices,n_papers
Medical Informatics / Digital Health,245,False,15.918367346938775,54.285714285714285,8.571428571428571,21.224489795918366,24.489795918367346,19.183673469387756,30.612244897959183,62.04081632653061,19.183673469387756,7.346938775510205,11.428571428571429,69.38775510204081,64.08163265306122,75.10204081632654,44.93889785566059,0.0,4337
Radiology / Diagnostic Imaging,119,False,2.5210084033613445,89.91596638655463,4.201680672268908,3.361344537815126,6.722689075630252,2.5210084033613445,11.76470588235294,47.05882352941176,39.49579831932773,12.605042016806722,0.8403361344537815,59.66386554621848,51.26050420168067,68.08823529411762,21.253012048192772,1094.0,2075
Surgery,110,False,8.181818181818182,80.9090909090909,8.181818181818182,2.727272727272727,16.363636363636363,9.090909090909092,23.636363636363637,87.27272727272727,8.181818181818182,4.545454545454546,0.0,91.81818181818181,86.36363636363636,96.36363636363636,28.918169209431344,12.0,1442
Dentistry,53,False,7.547169811320755,86.79245283018868,5.660377358490567,0.0,13.20754716981132,5.660377358490567,22.641509433962266,64.15094339622641,30.18867924528302,5.660377358490567,0.0,69.81132075471697,58.490566037735846,81.13207547169812,24.834874504623514,5.0,757
Oncology,49,False,8.16326530612245,81.63265306122449,6.122448979591836,4.081632653061225,14.285714285714285,6.122448979591836,24.489795918367346,67.3469387755102,26.53061224489796,6.122448979591836,0.0,73.46938775510203,61.224489795918366,85.71428571428571,19.662921348314608,0.0,1424
Internal Medicine / Primary Care,48,False,0.0,89.58333333333334,2.083333333333333,8.333333333333332,2.083333333333333,0.0,6.25,72.91666666666666,18.75,8.333333333333332,0.0,81.24999999999999,68.75,91.66666666666666,22.470904207699192,24.0,1117
Medical Education,38,False,15.789473684210526,57.89473684210527,7.894736842105263,18.421052631578945,23.684210526315788,10.526315789473683,36.84210526315789,84.21052631578947,2.631578947368421,5.263157894736842,7.894736842105263,89.4736842105263,78.94736842105263,97.36842105263158,35.130111524163574,0.0,1076
Ophthalmology,34,False,5.88235294117647,91.17647058823529,2.941176470588235,0.0,8.823529411764705,0.0,20.588235294117645,67.64705882352942,29.411764705882355,2.941176470588235,0.0,70.58823529411765,52.94117647058824,85.29411764705883,18.41059602649007,10.0,755
Mental Health / Psychiatry,32,False,9.375,68.75,3.125,18.75,12.5,3.125,25.0,71.875,21.875,3.125,3.125,75.0,59.375,87.5,51.340206185567006,0.0,485
Emergency Medicine / Critical Care,30,False,0.0,86.66666666666667,10.0,3.3333333333333335,10.0,0.0,23.333333333333332,80.0,16.666666666666664,3.3333333333333335,0.0,83.33333333333333,70.0,93.33333333333333,28.455284552845526,26.0,369
Cardiology,28,False,7.142857142857142,92.85714285714286,0.0,0.0,7.142857142857142,0.0,17.857142857142858,64.28571428571429,25.0,10.714285714285714,0.0,75.0,57.14285714285714,89.28571428571429,16.798732171156892,136.0,631
Dermatology,28,False,3.571428571428571,85.71428571428571,3.571428571428571,7.142857142857142,7.142857142857142,0.0,17.857142857142858,57.14285714285714,32.142857142857146,7.142857142857142,3.571428571428571,64.28571428571428,46.42857142857143,82.14285714285714,36.544850498338874,0.0,301
Pediatrics,24,False,8.333333333333332,87.5,0.0,4.166666666666666,8.333333333333332,0.0,20.833333333333336,58.333333333333336,41.66666666666667,0.0,0.0,58.333333333333336,37.5,79.16666666666666,25.510204081632654,0.0,392
Neurology / Neuroscience,21,False,0.0,90.47619047619048,4.761904761904762,4.761904761904762,4.761904761904762,0.0,14.285714285714285,61.904761904761905,28.57142857142857,4.761904761904762,4.761904761904762,66.66666666666667,47.61904761904761,85.71428571428571,24.43820224719101,65.0,356
Pathology / Laboratory Medicine,19,True,5.263157894736842,89.47368421052632,5.263157894736842,0.0,10.526315789473683,,,73.68421052631578,26.31578947368421,0.0,0.0,73.68421052631578,,,20.74235807860262,50.0,458
Obstetrics / Gynecology,14,True,0.0,100.0,0.0,0.0,0.0,,,50.0,42.857142857142854,7.142857142857142,0.0,57.14285714285714,,,26.69491525423729,4.0,236
Multidisciplinary / Other,11,True,9.090909090909092,63.63636363636363,0.0,27.27272727272727,9.090909090909092,,,54.54545454545454,18.181818181818183,18.181818181818183,9.090909090909092,72.72727272727272,,,32.758620689655174,4.0,232
Nursing,10,True,20.0,60.0,0.0,20.0,20.0,,,80.0,0.0,0.0,20.0,80.0,,,42.955326460481096,0.0,291
