specialty,n_papers,critical_rate_pct,critical_ci_lo,critical_ci_hi,evaluative_share_pct,fda_device_count
Radiology / Diagnostic Imaging,2075,21.253012048192772,19.55327468230694,22.876225766986636,71.71084337349397,1094.0
Pathology / Laboratory Medicine,458,20.74235807860262,17.099044214212753,24.429965012156792,48.25327510917031,50.0
Cardiology,631,16.798732171156892,14.123132138945392,19.80833687390832,45.95879556259905,136.0
Oncology,1424,19.662921348314608,17.837265359728363,21.776600488900634,46.48876404494382,0.0
Surgery,1442,28.918169209431344,26.670203840285662,31.383419874820376,60.332871012482656,12.0
Ophthalmology,755,18.41059602649007,15.664031620553361,21.249046367720606,64.76821192052981,10.0
Dermatology,301,36.544850498338874,31.26646842899013,42.85928785928785,54.15282392026578,0.0
Neurology / Neuroscience,356,24.43820224719101,20.342489929820193,28.833914559721006,42.97752808988764,65.0
Mental Health / Psychiatry,485,51.340206185567006,46.781999794047984,55.51290463692039,34.845360824742265,0.0
Internal Medicine / Primary Care,1117,22.470904207699192,20.016539440203562,24.952758621903524,48.25425246195166,24.0
Emergency Medicine / Critical Care,369,28.455284552845526,23.86058981233244,33.06701714985708,59.34959349593496,26.0
Pediatrics,392,25.510204081632654,21.428571428571427,29.97413793103448,56.12244897959183,0.0
Obstetrics / Gynecology,236,26.69491525423729,20.719944082013047,32.35492845786963,57.20338983050848,4.0
Dentistry,757,24.834874504623514,21.933409593337103,28.121375405269646,70.67371202113605,5.0
Medical Informatics / Digital Health,4337,44.93889785566059,43.4872000833869,46.363155937272246,27.83029744062716,0.0
Nursing,291,42.955326460481096,37.04771570995427,48.840237403100765,17.525773195876287,0.0
Medical Education,1076,35.130111524163574,32.43737963004434,38.013013368641055,35.130111524163574,0.0
Multidisciplinary / Other,232,32.758620689655174,26.989887663151087,38.56634401545809,22.844827586206897,4.0
