group,point,ci_lower,ci_upper
Radiology / Diagnostic Imaging,19.21039961482908,17.555221824585324,20.92535956763472
Pathology / Laboratory Medicine,17.943107221006567,14.522388399981763,21.590968648751666
Cardiology,16.139240506329113,13.278396270016039,19.08548777306041
Oncology,16.713483146067414,14.927358838520906,18.64177737059093
Surgery,28.779472954230233,26.569030674092655,31.25565873657195
Ophthalmology,18.14569536423841,15.413788582400757,20.8011419801259
Dermatology,32.0,26.923076923076923,37.086775448897384
Neurology / Neuroscience,22.408963585434176,18.156383014099497,26.741028049491483
Mental Health / Psychiatry,42.47422680412371,37.72577350947332,47.21817502955879
Internal Medicine / Primary Care,20.948970456580128,18.53905191648737,23.098591549295776
Emergency Medicine / Critical Care,26.558265582655828,22.21861471861472,31.188476311505838
Pediatrics,24.744897959183675,20.523629098925326,28.91596310428747
Obstetrics / Gynecology,23.30508474576271,18.104964764478357,28.93645016797312
Dentistry,25.428194993412383,22.584379744250914,28.60980736995411
Medical Informatics / Digital Health,33.51002535146347,32.10528492931492,34.94987840773386
Nursing,23.02405498281787,18.505240564804325,28.059963341188794
Medical Education,22.02602230483271,19.757232631800992,24.511253546004387
Multidisciplinary / Other,26.72413793103448,20.8657237102119,32.389224048262946
