theme,pub_year,count,rate_pct,ac_denominator,partial_year
replacement,2021,17,6.296296296296297,270,False
replacement,2022,17,5.105105105105105,333,False
replacement,2023,27,4.326923076923077,624,False
replacement,2024,50,4.071661237785016,1228,False
replacement,2025,60,3.2822757111597376,1828,False
replacement,2026,26,2.9612756264236904,878,True
hallucination,2021,64,23.703703703703702,270,False
hallucination,2022,73,21.92192192192192,333,False
hallucination,2023,263,42.1474358974359,624,False
hallucination,2024,637,51.872964169381106,1228,False
hallucination,2025,934,51.094091903719914,1828,False
hallucination,2026,479,54.55580865603645,878,True
safety_clinical,2021,160,59.25925925925926,270,False
safety_clinical,2022,210,63.06306306306306,333,False
safety_clinical,2023,385,61.69871794871795,624,False
safety_clinical,2024,813,66.20521172638436,1228,False
safety_clinical,2025,1187,64.93435448577681,1828,False
safety_clinical,2026,617,70.27334851936219,878,True
ethics_bias,2021,99,36.666666666666664,270,False
ethics_bias,2022,151,45.34534534534534,333,False
ethics_bias,2023,226,36.217948717948715,624,False
ethics_bias,2024,403,32.817589576547235,1228,False
ethics_bias,2025,604,33.04157549234136,1828,False
ethics_bias,2026,251,28.5876993166287,878,True
cognitive,2021,21,7.777777777777778,270,False
cognitive,2022,19,5.7057057057057055,333,False
cognitive,2023,35,5.608974358974359,624,False
cognitive,2024,59,4.804560260586319,1228,False
cognitive,2025,120,6.564551422319475,1828,False
cognitive,2026,59,6.719817767653758,878,True
education,2021,10,3.7037037037037037,270,False
education,2022,6,1.8018018018018018,333,False
education,2023,58,9.294871794871796,624,False
education,2024,103,8.387622149837133,1228,False
education,2025,190,10.393873085339168,1828,False
education,2026,85,9.681093394077449,878,True
regulation,2021,148,54.81481481481482,270,False
regulation,2022,186,55.85585585585586,333,False
regulation,2023,259,41.506410256410255,624,False
regulation,2024,420,34.20195439739414,1228,False
regulation,2025,580,31.728665207877462,1828,False
regulation,2026,288,32.80182232346242,878,True
existential,2021,18,6.666666666666667,270,False
existential,2022,14,4.2042042042042045,333,False
existential,2023,37,5.92948717948718,624,False
existential,2024,39,3.175895765472313,1228,False
existential,2025,102,5.579868708971554,1828,False
existential,2026,46,5.239179954441913,878,True
data_privacy,2021,24,8.88888888888889,270,False
data_privacy,2022,28,8.408408408408409,333,False
data_privacy,2023,41,6.57051282051282,624,False
data_privacy,2024,84,6.840390879478828,1228,False
data_privacy,2025,148,8.096280087527353,1828,False
data_privacy,2026,54,6.150341685649202,878,True
other,2021,13,4.814814814814815,270,False
other,2022,15,4.504504504504505,333,False
other,2023,14,2.2435897435897436,624,False
other,2024,21,1.710097719869707,1228,False
other,2025,31,1.6958424507658643,1828,False
other,2026,17,1.9362186788154898,878,True
