theme,label,spearman_rho,p_value,direction,y_2021,y_2026,delta_pp_2021_to_2026,overall_pct
safety_clinical,Patient safety,0.8857,0.01885,rising,59.26,70.27,11.01,65.34
hallucination,Hallucination / errors,0.8857,0.01885,rising,23.7,54.56,30.85,47.47
regulation,Governance / regulation,-0.8857,0.01885,falling,54.81,32.8,-22.01,36.45
ethics_bias,Ethics & bias,-0.8857,0.01885,falling,36.67,28.59,-8.08,33.6
education,Medical education,0.8286,0.04156,rising,3.7,9.68,5.98,8.76
data_privacy,Data privacy,-0.7714,0.0724,falling,8.89,6.15,-2.74,7.34
cognitive,Cognitive offloading,-0.0857,0.87174,falling,7.78,6.72,-1.06,6.06
existential,Existential threat,-0.3714,0.46848,falling,6.67,5.24,-1.43,4.96
replacement,Replacement fears,-1.0,0.0,falling,6.3,2.96,-3.34,3.82
other,Other,-0.8286,0.04156,falling,4.81,1.94,-2.88,2.15
