specialty,year,n,hallucination_pct,hallucination_n,regulation_pct,regulation_n,safety_clinical_pct,safety_clinical_n
Medical Informatics / Digital Health,2021,133,13.533834586466165,18,66.16541353383458,88,48.87218045112782,65
Medical Informatics / Digital Health,2022,163,14.11042944785276,23,65.6441717791411,107,57.668711656441715,94
Medical Informatics / Digital Health,2023,259,34.74903474903475,90,57.91505791505791,150,58.68725868725869,152
Medical Informatics / Digital Health,2024,458,36.46288209606987,167,56.55021834061136,259,57.86026200873362,265
Medical Informatics / Digital Health,2025,661,41.301059001512854,273,50.378214826021186,333,58.54765506807866,387
Medical Informatics / Digital Health,2026,275,46.18181818181818,127,49.09090909090909,135,63.63636363636363,175
Radiology / Diagnostic Imaging,2021,28,50.0,14,32.142857142857146,9,85.71428571428571,24
Radiology / Diagnostic Imaging,2022,42,30.952380952380953,13,45.23809523809524,19,76.19047619047619,32
Radiology / Diagnostic Imaging,2023,68,33.82352941176471,23,36.76470588235294,25,69.11764705882352,47
Radiology / Diagnostic Imaging,2024,84,55.952380952380956,47,28.57142857142857,24,75.0,63
Radiology / Diagnostic Imaging,2025,139,59.71223021582733,83,24.46043165467626,34,90.64748201438849,126
Radiology / Diagnostic Imaging,2026,80,73.75,59,31.25,25,95.0,76
Surgery,2021,9,44.44444444444444,4,66.66666666666666,6,66.66666666666666,6
Surgery,2022,10,50.0,5,50.0,5,60.0,6
Surgery,2023,48,72.91666666666666,35,22.916666666666664,11,79.16666666666666,38
Surgery,2024,138,79.71014492753623,110,13.043478260869565,18,82.6086956521739,114
Surgery,2025,142,78.87323943661971,112,16.901408450704224,24,82.3943661971831,117
Surgery,2026,70,67.14285714285714,47,22.857142857142858,16,81.42857142857143,57
Medical Education,2021,10,0.0,0,20.0,2,0.0,0
Medical Education,2022,9,0.0,0,22.22222222222222,2,11.11111111111111,1
Medical Education,2023,42,38.095238095238095,16,21.428571428571427,9,7.142857142857142,3
Medical Education,2024,87,43.67816091954023,38,22.988505747126435,20,12.643678160919542,11
Medical Education,2025,158,39.24050632911392,62,13.924050632911392,22,10.759493670886076,17
Medical Education,2026,72,23.61111111111111,17,16.666666666666664,12,12.5,9
Oncology,2021,9,22.22222222222222,2,33.33333333333333,3,100.0,9
Oncology,2022,20,30.0,6,55.00000000000001,11,75.0,15
Oncology,2023,26,50.0,13,38.46153846153847,10,73.07692307692307,19
Oncology,2024,72,63.888888888888886,46,23.61111111111111,17,87.5,63
Oncology,2025,100,53.0,53,28.000000000000004,28,81.0,81
Oncology,2026,53,69.81132075471697,37,20.754716981132077,11,90.56603773584906,48
Internal Medicine / Primary Care,2021,9,55.55555555555556,5,44.44444444444444,4,66.66666666666666,6
Internal Medicine / Primary Care,2022,9,22.22222222222222,2,33.33333333333333,3,66.66666666666666,6
Internal Medicine / Primary Care,2023,25,44.0,11,44.0,11,76.0,19
Internal Medicine / Primary Care,2024,63,82.53968253968253,52,12.698412698412698,8,88.88888888888889,56
Internal Medicine / Primary Care,2025,96,67.70833333333334,65,19.791666666666664,19,84.375,81
Internal Medicine / Primary Care,2026,49,71.42857142857143,35,24.489795918367346,12,83.6734693877551,41
Mental Health / Psychiatry,2021,11,9.090909090909092,1,36.36363636363637,4,45.45454545454545,5
Mental Health / Psychiatry,2022,10,20.0,2,70.0,7,70.0,7
Mental Health / Psychiatry,2023,26,38.46153846153847,10,23.076923076923077,6,69.23076923076923,18
Mental Health / Psychiatry,2024,49,36.734693877551024,18,26.53061224489796,13,67.3469387755102,33
Mental Health / Psychiatry,2025,100,31.0,31,28.999999999999996,29,72.0,72
Mental Health / Psychiatry,2026,53,43.39622641509434,23,26.41509433962264,14,84.90566037735849,45
Dentistry,2021,3,33.33333333333333,1,100.0,3,33.33333333333333,1
Dentistry,2022,4,50.0,2,50.0,2,100.0,4
Dentistry,2023,10,60.0,6,0.0,0,60.0,6
Dentistry,2024,31,61.29032258064516,19,12.903225806451612,4,80.64516129032258,25
Dentistry,2025,97,85.56701030927834,83,9.278350515463918,9,73.19587628865979,71
Dentistry,2026,43,81.3953488372093,35,13.953488372093023,6,69.76744186046511,30
