quarter,total,Alarm,Alarm_pct,Caution,Caution_pct,Neutral,Neutral_pct,Cautious Optimism,Cautious Optimism_pct,Advocacy,Advocacy_pct
2021-Q1,302,7,2.32,54,17.88,68,22.52,166,54.97,7,2.32
2021-Q2,215,6,2.79,46,21.4,56,26.05,103,47.91,4,1.86
2021-Q3,221,2,0.9,37,16.74,71,32.13,106,47.96,5,2.26
2021-Q4,237,8,3.38,52,21.94,63,26.58,112,47.26,2,0.84
2022-Q1,413,4,0.97,90,21.79,133,32.2,173,41.89,13,3.15
2022-Q2,224,5,2.23,45,20.09,71,31.7,100,44.64,3,1.34
2022-Q3,231,7,3.03,42,18.18,70,30.3,109,47.19,3,1.3
2022-Q4,329,5,1.52,64,19.45,111,33.74,145,44.07,4,1.22
2023-Q1,574,14,2.44,93,16.2,173,30.14,279,48.61,15,2.61
2023-Q2,361,12,3.32,88,24.38,100,27.7,154,42.66,7,1.94
2023-Q3,492,18,3.66,121,24.59,138,28.05,201,40.85,14,2.85
2023-Q4,631,27,4.28,147,23.3,180,28.53,260,41.2,17,2.69
2024-Q1,298,6,2.01,61,20.47,85,28.52,139,46.64,7,2.35
2024-Q2,113,3,2.65,24,21.24,35,30.97,45,39.82,6,5.31
2024-Q3,29,0,0.0,7,24.14,7,24.14,15,51.72,0,0.0
2024-Q4,16,2,12.5,3,18.75,3,18.75,8,50.0,0,0.0
2025-Q1,1769,56,3.17,347,19.62,545,30.81,782,44.21,39,2.2
2025-Q2,1154,38,3.29,217,18.8,349,30.24,531,46.01,19,1.65
2025-Q3,1298,47,3.62,240,18.49,404,31.12,584,44.99,23,1.77
2025-Q4,1654,60,3.63,288,17.41,515,31.14,766,46.31,25,1.51
2026-Q1,2020,83,4.11,381,18.86,649,32.13,880,43.56,27,1.34
2026-Q2,710,30,4.23,124,17.46,257,36.2,288,40.56,11,1.55
2026-Q3,20,1,5.0,5,25.0,7,35.0,6,30.0,1,5.0
2026-Q4,22,0,0.0,4,18.18,2,9.09,16,72.73,0,0.0
