specialty,total,Alarm,Alarm_pct,Caution,Caution_pct,Neutral,Neutral_pct,Cautious Optimism,Cautious Optimism_pct,Advocacy,Advocacy_pct,critical_pct
Psychiatry/Neurology,804,33,4.1,252,31.34,158,19.65,346,43.03,15,1.87,35.45
Other/General,2336,103,4.41,669,28.64,654,28.0,838,35.87,72,3.08,33.05
Informatics/Digital Health,703,26,3.7,202,28.73,193,27.45,267,37.98,15,2.13,32.43
Dermatology,137,11,8.03,31,22.63,34,24.82,57,41.61,4,2.92,30.66
Primary Care/Internal Medicine,200,8,4.0,53,26.5,66,33.0,72,36.0,1,0.5,30.5
Medical Education,1101,40,3.63,277,25.16,368,33.42,403,36.6,13,1.18,28.79
Emergency/Critical Care,763,25,3.28,192,25.16,246,32.24,282,36.96,18,2.36,28.44
Surgery,1200,62,5.17,191,15.92,395,32.92,533,44.42,19,1.58,21.08
Pathology,332,8,2.41,52,15.66,102,30.72,168,50.6,2,0.6,18.07
Oncology,1277,24,1.88,169,13.23,315,24.67,737,57.71,32,2.51,15.11
Cardiology,456,16,3.51,52,11.4,124,27.19,253,55.48,11,2.41,14.91
Radiology,3766,77,2.04,415,11.02,1302,34.57,1923,51.06,49,1.3,13.06
Ophthalmology,261,8,3.07,25,9.58,136,52.11,91,34.87,1,0.38,12.64
