year,stance,title,journal,quartile,confidence,predictive,pmid
2021,Advocacy,The Impact of Artificial Intelligence on Traditional Chinese Medicine.,The American journal of Chinese medicine,Q1,High,yes,34247564
2021,Advocacy,"Precision Medicine, AI, and the Future of Personalized Health Care.",Clinical and translational science,Q1,High,yes,32961010
2021,Advocacy,Academics as leaders in the cancer artificial intelligence revolution.,Cancer,Q1,High,yes,33119903
2021,Advocacy,Leveraging data and AI to deliver on the promise of digital health.,International journal of medical informatics,Q1,High,yes,33866232
2021,Advocacy,"Response to ""Reply to 'A deep learning-based smartphone platform for cutaneous lupus erythematosus classification assistance: Simplifying the diagnosis of complicated diseases.' Has the complicated disease been simplified too much?"" Artificial intelligence system is helpful for diagnosis of cutaneous lupus erythematosus.",Journal of the American Academy of Dermatology,Q1,High,no,33864838
2021,Advocacy,Machine Learning Will Extend the Clinical Utility of Adaptive Deep Brain Stimulation.,Movement disorders : official journal of the Movement Disorder Society,Q1,High,yes,33851753
2021,Advocacy,The Beginning of a New Era: Artificial Intelligence in Healthcare.,Advanced pharmaceutical bulletin,Q1,High,yes,34513616
2021,Advocacy,Gynecology Meets Big Data in the Disruptive Innovation Medical Era: State-of-Art and Future Prospects.,International journal of environmental research and public health,Q1,High,yes,34064710
2021,Alarm,"Clinical Advice by Voice Assistants on Postpartum Depression: Cross-Sectional Investigation Using Apple Siri, Amazon Alexa, Google Assistant, and Microsoft Cortana.",JMIR mHealth and uHealth,Q1,High,no,33427680
2021,Alarm,The Emerging Hazard of AI-Related Health Care Discrimination.,The Hastings Center report,Q1,High,no,33315263
2021,Alarm,Bias at warp speed: how AI may contribute to the disparities gap in the time of COVID-19.,Journal of the American Medical Informatics Association : JAMIA,Q1,High,yes,32805004
2021,Alarm,Low Predictability of Readmissions and Death Using Machine Learning in Cirrhosis.,The American journal of gastroenterology,Q1,High,no,33038139
2021,Alarm,Reproducibility in machine learning for health research: Still a ways to go.,Science translational medicine,Q1,High,no,33762434
2021,Alarm,Analysis of Potential for User Errors in Mobile Deployment of Radiology Deep Learning for Cardiac Rhythm Device Detection.,Journal of digital imaging,Q1,High,no,33742333
2021,Alarm,AI-based smartphone apps for risk assessment of skin cancer need more evaluation and better regulation.,British journal of cancer,Q1,High,no,33742148
2021,Alarm,"Does ""AI"" stand for augmenting inequality in the era of covid-19 healthcare?",BMJ (Clinical research ed.),Q1,High,yes,33722847
2021,Caution,Stress Testing Pathology Models with Generated Artifacts.,Journal of pathology informatics,Q1,High,no,35070483
2021,Caution,Artificial Intelligence: An Interprofessional Perspective on Implications for Geriatric Mental Health Research and Care.,Frontiers in psychiatry,Q1,High,yes,34867524
2021,Caution,Drivers and social implications of Artificial Intelligence adoption in healthcare during the COVID-19 pandemic.,PloS one,Q1,High,no,34807907
2021,Caution,Supporting Risk-Aware Use of Online Translation Tools in Delivering Mental Healthcare Services among Spanish-Speaking Populations.,Computational intelligence and neuroscience,Q1,High,no,34745242
2021,Caution,Will Artificial Intelligence Replace the Movement Disorders Specialist for Diagnosing and Managing Parkinson's Disease?,Journal of Parkinson's disease,Q1,High,yes,34219671
2021,Caution,Adequacy and Effectiveness of Watson For Oncology in the Treatment of Thyroid Carcinoma.,Frontiers in endocrinology,Q1,High,no,33746898
2021,Caution,Towards evaluating the robustness of deep diagnostic models by adversarial attack.,Medical image analysis,Q1,High,no,33550005
2021,Caution,Promises and pitfalls of deep neural networks in neuroimaging-based psychiatric research.,Experimental neurology,Q1,High,no,33513353
2021,Cautious Optimism,Clinical Natural Language Processing for Radiation Oncology: A Review and Practical Primer.,"International journal of radiation oncology, biology, physics",Q1,High,yes,33545300
2021,Cautious Optimism,A Preliminary Experience of Implementing Deep-Learning Based Auto-Segmentation in Head and Neck Cancer: A Study on Real-World Clinical Cases.,Frontiers in oncology,Q1,High,no,34026615
2021,Cautious Optimism,Dermatologists' Perspectives on Artificial Intelligence and Augmented Intelligence - A Cross-sectional Survey.,JAMA dermatology,Q1,High,no,34037674
2021,Cautious Optimism,Improved Diagnostic Accuracy of Ameloblastoma and Odontogenic Keratocyst on Cone-Beam CT by Artificial Intelligence.,Frontiers in oncology,Q1,High,no,35155194
2021,Cautious Optimism,Artificial Intelligence in Cardiac MRI: Is Clinical Adoption Forthcoming?,Frontiers in cardiovascular medicine,Q1,High,yes,35083303
2021,Cautious Optimism,Artificial Intelligence in Medicine: A Multinational Multi-Center Survey on the Medical and Dental Students' Perception.,Frontiers in public health,Q1,High,yes,35004598
2021,Cautious Optimism,The Contribution of Artificial Intelligence in Achieving the Sustainable Development Goals (SDGs): What Can Eye Health Can Learn From Commercial Industry and Early Lessons From the Application of Machine Learning in Eye Health Programmes.,Frontiers in public health,Q1,High,yes,35004574
2021,Cautious Optimism,Comparison of a Deep Learning Algorithm vs. Humans for Vertebral Heart Scale Measurements in Cats and Dogs Shows a High Degree of Agreement Among Readers.,Frontiers in veterinary science,Q1,High,no,34957280
2021,Neutral,Diagnostic Performance of Deep Learning Classifiers in Measuring Peripheral Anterior Synechia Based on Swept Source Optical Coherence Tomography Images.,Frontiers in medicine,Q1,High,no,35155465
2021,Neutral,Determinants of Intention to Use Artificial Intelligence-Based Diagnosis Support System Among Prospective Physicians.,Frontiers in public health,Q1,High,no,34900904
2021,Neutral,Artificial intelligence in orthopaedics: A scoping review.,PloS one,Q1,High,no,34813611
2021,Neutral,A clinical specific BERT developed using a huge Japanese clinical text corpus.,PloS one,Q1,High,no,34752490
2021,Neutral,Artificial intelligence on COVID-19 pneumonia detection using chest xray images.,PloS one,Q1,High,no,34648509
2021,Neutral,Articles That Use Artificial Intelligence for Ultrasound: A Reader's Guide.,Frontiers in oncology,Q1,High,no,34178622
2021,Neutral,Evaluation of Computer-Aided Nodule Assessment and Risk Yield (CANARY) in Korean patients for prediction of invasiveness of ground-glass opacity nodule.,PloS one,Q1,High,no,34125856
2021,Neutral,Artificial intelligence in clinical care amidst COVID-19 pandemic: A systematic review.,Computational and structural biotechnology journal,Q1,High,no,34025952
2022,Advocacy,Artificial intelligence: the unstoppable revolution in ophthalmology.,Survey of ophthalmology,Q1,High,yes,33741420
2022,Advocacy,Incessant threat of COVID-19 variants: Highlighting need for a mix of FDA-approved artificial intelligence tools and community pharmacy services.,Research in social & administrative pharmacy : RSAP,Q1,High,yes,34391673
2022,Advocacy,Contribution of the Japan Gastroenterological Endoscopy Society to promote computer-aided diagnosis/detection system development using artificial intelligence technology.,Digestive endoscopy : official journal of the Japan Gastroenterological Endoscopy Society,Q1,High,yes,34652003
2022,Advocacy,A Case for the Use of Artificial Intelligence in Glaucoma Assessment.,Ophthalmology. Glaucoma,Q1,High,yes,34954220
2022,Advocacy,"Internet of Things, Machine Learning, and Blockchain Technology: Emerging technologies revolutionizing Universal Health Coverage.",Frontiers in public health,Q1,High,yes,36353272
2022,Advocacy,Cushing's Disease Management: Glimpse Into 2051.,Frontiers in endocrinology,Q1,High,yes,35872988
2022,Advocacy,A Clinician's Guide to Artificial Intelligence (AI): Why and How Primary Care Should Lead the Health Care AI Revolution.,Journal of the American Board of Family Medicine : JABFM,Q1,High,yes,35039425
2022,Advocacy,Advancing pharmacy and healthcare with virtual digital technologies.,Advanced drug delivery reviews,Q1,High,yes,34998901
2022,Alarm,Machine learning algorithms do not outperform preoperative thresholds in predicting clinically meaningful improvements after total knee arthroplasty.,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",Q1,High,no,34245310
2022,Alarm,Missing data is poorly handled and reported in prediction model studies using machine learning: a literature review.,Journal of clinical epidemiology,Q1,High,no,34798287
2022,Alarm,Commercial AI solutions in detecting COVID-19 pneumonia in chest CT: not yet ready for clinical implementation?,European radiology,Q1,High,no,34950973
2022,Alarm,Machine learning classifiers do not improve prediction of hospitalization > 2 days after fast-track hip and knee arthroplasty compared with a classical statistical risk model.,Acta orthopaedica,Q1,High,no,34984485
2022,Alarm,Automatic coronavirus disease 2019 diagnosis based on chest radiography and deep learning - Success story or dataset bias?,Medical physics,Q1,High,no,34951033
2022,Alarm,Black Box Prediction Methods in Sports Medicine Deserve a Red Card for Reckless Practice: A Change of Tactics is Needed to Advance Athlete Care.,"Sports medicine (Auckland, N.Z.)",Q1,High,yes,35175575
2022,Alarm,AI models in health care are not colour blind and we should not be either.,The Lancet. Digital health,Q1,High,no,35568691
2022,Alarm,AI recognition of patient race in medical imaging: a modelling study.,The Lancet. Digital health,Q1,High,no,35568690
2022,Caution,AI support for ethical decision-making around resuscitation: proceed with care.,Journal of medical ethics,Q1,High,no,33687916
2022,Caution,Ethical implications of AI in robotic surgical training: A Delphi consensus statement.,European urology focus,Q1,High,no,33941503
2022,Caution,Charting a path forward for clinical research in artificial intelligence and gastroenterology.,Digestive endoscopy : official journal of the Japan Gastroenterological Endoscopy Society,Q1,High,yes,33715244
2022,Caution,Exploring the phenomenon and ethical issues of AI paternalism in health apps.,Bioethics,Q1,High,no,34031908
2022,Caution,Machine learning in medicine: should the pursuit of enhanced interpretability be abandoned?,Journal of medical ethics,Q1,High,no,34006600
2022,Caution,Randomised controlled trials in medical AI: ethical considerations.,Journal of medical ethics,Q1,High,no,33990429
2022,Caution,From everyday life predictions to suicide prevention: Clinical and ethical considerations in suicide predictive analytic tools.,Journal of clinical psychology,Q1,High,no,34195998
2022,Caution,Intentional machines: A defence of trust in medical artificial intelligence.,Bioethics,Q1,High,no,34142373
2022,Cautious Optimism,Accuracy of artificial intelligence-assisted detection of Oral Squamous Cell Carcinoma: A systematic review and meta-analysis.,Critical reviews in oncology/hematology,Q1,High,no,35931404
2022,Cautious Optimism,Artificial intelligence and atrial fibrillation.,Journal of cardiovascular electrophysiology,Q1,High,yes,35258136
2022,Cautious Optimism,The use of artificial intelligence and virtual reality in doctor-patient risk communication: A scoping review.,Patient education and counseling,Q1,High,no,35725526
2022,Cautious Optimism,Diabetic Retinopathy Screening Using Artificial Intelligence and Handheld Smartphone-Based Retinal Camera.,Journal of diabetes science and technology,Q1,High,no,33435711
