pmid,year,pub_date,title,abstract,journal,journal_abbr,pub_type,first_author,first_affiliation,doi,sjr_quartile,pub_year,paper_type,type_confidence,pub_year,stance,stance_model,confidence,predictive_claim,stance_raw
33545300,2021,2021 Jul,Clinical Natural Language Processing for Radiation Oncology: A Review and Practical Primer.,"Natural language processing (NLP), which aims to convert human language into expressions that can be analyzed by computers, is one of the most rapidly developing and widely used technologies in the field of artificial intelligence. Natural language processing algorithms convert unstructured free text data into structured data that can be extracted and analyzed at scale. In medicine, this unlocking of the rich, expressive data within clinical free text in electronic medical records will help untap the full potential of big data for research and clinical purposes. Recent major NLP algorithmic advances have significantly improved the performance of these algorithms, leading to a surge in academic and industry interest in developing tools to automate information extraction and phenotyping from clinical texts. Thus, these technologies are poised to transform medical research and alter clinical practices in the future. Radiation oncology stands to benefit from NLP algorithms if they are appropriately developed and deployed, as they may enable advances such as automated inclusion of radiation therapy details into cancer registries, discovery of novel insights about cancer care, and improved patient data curation and presentation at the point of care. However, challenges remain before the full value of NLP is realized, such as the plethora of jargon specific to radiation oncology, nonstandard nomenclature, a lack of publicly available labeled data for model development, and interoperability limitations between radiation oncology data silos. Successful development and implementation of high quality and high value NLP models for radiation oncology will require close collaboration between computer scientists and the radiation oncology community. Here, we present a primer on artificial intelligence algorithms in general and NLP algorithms in particular; provide guidance on how to assess the performance of such algorithms; review prior research on NLP algorithms for oncology; and describe future avenues for NLP in radiation oncology research and clinics.","International journal of radiation oncology, biology, physics",Int J Radiat Oncol Biol Phys,Journal Article; Review,Bitterman Danielle S,"Department of Radiation Oncology, Brigham and Women's Hospital/Dana-Farber Cancer Institute, Boston, Massachusetts; Computational Health Informatics Program, Boston Children's Hospital, Boston, Massachusetts; Artificial Intelligence in Medicine Program, Brigham and Women's Hospital, Boston, Massachusetts. Electronic address: danielle_bitterman@dfci.harvard.edu.",10.1016/j.ijrobp.2021.01.044,Q1,2021,discourse,Medium,2021,Cautious Optimism,sonnet,High,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""yes""}"
33041533,2021,2021 Jan,Applications of artificial intelligence in battling against covid-19: A literature review.,"Colloquially known as coronavirus, the Severe Acute Respiratory Syndrome CoronaVirus 2 (SARS-CoV-2), that causes CoronaVirus Disease 2019 (COVID-19), has become a matter of grave concern for every country around the world. The rapid growth of the pandemic has wreaked havoc and prompted the need for immediate reactions to curb the effects. To manage the problems, many research in a variety of area of science have started studying the issue. Artificial Intelligence is among the area of science that has found great applications in tackling the problem in many aspects. Here, we perform an overview on the applications of AI in a variety of fields including diagnosis of the disease via different types of tests and symptoms, monitoring patients, identifying severity of a patient, processing covid-19 related imaging tests, epidemiology, pharmaceutical studies, etc. The aim of this paper is to perform a comprehensive survey on the applications of AI in battling against the difficulties the outbreak has caused. Thus we cover every way that AI approaches have been employed and to cover all the research until the writing of this paper. We try organize the works in a way that overall picture is comprehensible. Such a picture, although full of details, is very helpful in understand where AI sits in current pandemonium. We also tried to conclude the paper with ideas on how the problems can be tackled in a better way and provide some suggestions for future works.","Chaos, solitons, and fractals",Chaos Solitons Fractals,Journal Article; Review,Tayarani N Mohammad-H,"Biocomputation Group, School of Computer Science, University of Hertfordshire, Hatfield, AL10 9AB, United Kingdom.",10.1101/2020.03.11.986836,Q2,2021,discourse,Medium,2021,Cautious Optimism,sonnet,Medium,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""Medium"", ""predictive_claim"": ""yes""}"
32962932,2021,2021 Jan,Artificial Intelligence in Echocardiography for Anesthesiologists.,"Echocardiography is a unique diagnostic tool for intraoperative monitoring and assessment of patients with cardiovascular diseases. However, there are high levels of interoperator variations in echocardiography interpretations that could lead to inaccurate diagnosis and incorrect treatment. Furthermore, anesthesiologists are faced with the additional challenge to interpret echocardiography and make decisions in a limited timeframe from these complex data. The need for an automated, less operator-dependent process that enhances speed and accuracy of echocardiography analysis is crucial for anesthesiologists. Artificial intelligence is playing an increasingly important role in the medical field and could help anesthesiologists analyze complex echocardiographic data while adding increased accuracy and consistency to interpretation. This review aims to summarize practical use of artificial intelligence in echocardiography and discusses potential limitations and challenges in the future for anesthesiologists.",Journal of cardiothoracic and vascular anesthesia,J Cardiothorac Vasc Anesth,Journal Article; Review,Chen Xia,"Department of Anesthesiology, Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China.",10.1053/j.jvca.2020.08.048,Q2,2021,discourse,Medium,2021,Cautious Optimism,sonnet,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
34026615,2021,2021 Jan,A Preliminary Experience of Implementing Deep-Learning Based Auto-Segmentation in Head and Neck Cancer: A Study on Real-World Clinical Cases.,"PURPOSE: While artificial intelligence has shown great promise in organs-at-risk (OARs) auto segmentation for head and neck cancer (HNC) radiotherapy, to reach the level of clinical acceptance of this technology in real-world routine practice is still a challenge. The purpose of this study was to validate a U-net-based full convolutional neural network (CNN) for the automatic delineation of OARs of HNC, focusing on clinical implementation and evaluation. METHODS: In the first phase, the CNN was trained on 364 clinical HNC patients' CT images with annotated contouring from routine clinical cases by different oncologists. The automated delineation accuracy was quantified using the Dice similarity coefficient (DSC) and 95% Hausdorff distance (HD). To assess efficiency, the time required to edit the auto-contours to a clinically acceptable standard was evaluated by a questionnaire. For subjective evaluation, expert oncologists (more than 10 years' experience) were randomly presented with automated delineations or manual contours of 15 OARs for 30 patient cases. In the second phase, the network was retrained with an additional 300 patients, which were generated by pre-trained CNN and edited by oncologists until to meet clinical acceptance. RESULTS: Based on DSC, the CNN performed best for the spinal cord, brainstem, temporal lobe, eyes, optic nerve, parotid glands and larynx (DSC >0.7). Higher conformity for the OARs delineation was achieved by retraining our architecture, largest DSC improvement on oral cavity (0.53 to 0.93). Compared with the manual delineation time, after using auto-contouring, this duration was significantly shortened from hours to minutes. In the subjective evaluation, two observes showed an apparent inclination on automatic OARs contouring, even for relatively low DSC values. Most of the automated OARs segmentation can reach the clinical acceptance level compared to manual delineations. CONCLUSIONS: After retraining, the CNN developed for OARs automated delineation in HNC was proved to be more robust, efficiency and consistency in clinical practice. Deep learning-based auto-segmentation shows great potential to alleviate the labor-intensive contouring of OAR for radiotherapy treatment planning.",Frontiers in oncology,Front Oncol,Journal Article,Zhong Yang,"Department of Radiation Oncology, Fudan University Shanghai Cancer Center, Shanghai, China.",10.1088/0031-9155/56/14/021,Q1,2021,evaluative,Medium,2021,Cautious Optimism,sonnet,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
33929707,2021,2021 Dec,Can robotics be the future of ophthalmic surgery?,The future of robotic ophthalmologic surgery looks promising. Innovations in robotic technology and artificial intelligence may provide an ideal machine-human interface with planned and precise movements minimizing unwanted tissue damage and improving clinical outcomes.,Journal of robotic surgery,J Robot Surg,Journal Article,Verma Yash,"Humanitas University, Milan, Italy. yash.verma@st.hunimed.eu.",10.1167/tvst.6.3.21,Q2,2021,discourse,Medium,2021,Cautious Optimism,sonnet,High,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""yes""}"
34142141,2021,2021 Aug,Design thinking in applied informatics: what can we learn from Project HealthDesign?,"OBJECTIVE: The goals of this study are to describe the value and impact of Project HealthDesign (PHD), a program of the Robert Wood Johnson Foundation that applied design thinking to personal health records, and to explore the applicability of the PHD model to another challenging translational informatics problem: the integration of AI into the healthcare system. MATERIALS AND METHODS: We assessed PHD's impact and value in 2 ways. First, we analyzed publication impact by calculating a PHD h-index and characterizing the professional domains of citing journals. Next, we surveyed and interviewed PHD grantees, expert consultants, and codirectors to assess the program's components and the potential future application of design thinking to artificial intelligence (AI) integration into healthcare. RESULTS: There was a total of 1171 unique citations to PHD-funded work (collective h-index of 25). Studies citing PHD span medical, legal, and computational journals. Participants stated that this project transformed their thinking, altered their career trajectory, and resulted in technology transfer into the commercial sector. Participants felt, in general, that the approach would be valuable in solving contemporary challenges integrating AI in healthcare including complex social questions, integrating knowledge from multiple domains, implementation, and governance. CONCLUSION: Design thinking is a systematic approach to problem-solving characterized by cooperation and collaboration. PHD generated significant impacts as measured by citations, reach, and overall effect on participants. PHD's design thinking methods are potentially useful to other work on cyber-physical systems, such as the use of AI in healthcare, to propose structural or policy-related changes that may affect adoption, value, and improvement of the care delivery system.",Journal of the American Medical Informatics Association : JAMIA,J Am Med Inform Assoc,"Journal Article; Research Support, Non-U.S. Gov't",Novak Laurie L,"Department of Biomedical Informatics, Vanderbilt University Medical Center, Nashville, Tennessee, USA.",10.1093/jamia/ocab081,Q1,2021,discourse,Medium,2021,Cautious Optimism,sonnet,Medium,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""Medium"", ""predictive_claim"": ""no""}"
34573899,2021,2021 Aug,Faster Region-Based Convolutional Neural Network in the Classification of Different Parkinsonism Patterns of the Striatum on Maximum Intensity Projection Images of [18F]FP-CIT Positron Emission Tomography.,"The aim of this study was to compare the performance of a deep-learning convolutional neural network (Faster R-CNN) model to detect imaging findings suggestive of idiopathic Parkinson's disease (PD) based on [18F]FP-CIT PET maximum intensity projection (MIP) images versus that of nuclear medicine (NM) physicians. The anteroposterior MIP images of the [18F]FP-CIT PET scan of 527 patients were classified as having PD (139 images) or non-PD (388 images) patterns according to the final diagnosis. Non-PD patterns were classified as overall-normal (ONL, 365 images) and vascular parkinsonism with definite defects or prominently decreased dopamine transporter binding (dVP, 23 images) patterns. Faster R-CNN was trained on 120 PD, 320 ONL, and 16 dVP pattern images and tested on the 19 PD, 45 ONL, and seven dVP patterns images. The performance of the Faster R-CNN and three NM physicians was assessed using receiver operating characteristics curve analysis. The difference in performance was assessed using Cochran's Q test, and the inter-rater reliability was calculated. Faster R-CNN showed high accuracy in differentiating PD from non-PD patterns and also from dVP patterns, with results comparable to those of NM physicians. There were no significant differences in the area under the curve and performance. The inter-rater reliability among Faster R-CNN and NM physicians showed substantial to almost perfect agreement. The deep-learning model accurately differentiated PD from non-PD patterns on MIP images of [18F]FP-CIT PET, and its performance was comparable to that of NM physicians.","Diagnostics (Basel, Switzerland)",Diagnostics (Basel),Journal Article,Choi Byung Wook,"Department of Nuclear Medicine, Daegu Catholic University Medical Center, Daegu Catholic University School of Medicine, Daegu 42472, Korea.",10.3390/healthcare8010034,Q2,2021,evaluative,Medium,2021,Neutral,sonnet,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
34037674,2021,2021 Jul,Dermatologists' Perspectives on Artificial Intelligence and Augmented Intelligence - A Cross-sectional Survey.,"This cross-sectional survey finds that most dermatologists are receptive to assistance from AI tools and envision a role for augmented intelligence in clinical practice, but they also value the physician-patient relationship and human accuracy.",JAMA dermatology,JAMA Dermatol,Letter,Nelson Caroline A,"Department of Dermatology, Yale School of Medicine, New Haven, Connecticut.",10.21037/atm.2019.12.102,Q1,2021,discourse,Medium,2021,Cautious Optimism,sonnet,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
35931404,2022,2022 Oct,Accuracy of artificial intelligence-assisted detection of Oral Squamous Cell Carcinoma: A systematic review and meta-analysis.,"Oral Squamous Cell Carcinoma (OSCC) is an aggressive tumor with a poor prognosis. Accurate and timely diagnosis is therefore essential for reducing the burden of advanced disease and improving outcomes. In this meta-analysis, we evaluated the accuracy of artificial intelligence (AI)-assisted technologies in detecting OSCC. We included studies that validated any diagnostic modality that used AI to detect OSCC. A search was performed in six databases: PubMed, Embase, Scopus, Cochrane Library, ProQuest, and Web of Science up to 15 Mar 2022. The Quality Assessment Tool for Diagnostic Accuracy Studies was used to evaluate the included studies' quality, while the Split Component Synthesis method was utilized to quantitatively synthesize the pooled diagnostic efficacy estimates. We considered 16 out of the 566 yielded studies, which included twelve different AI models with a total of 6606 samples. The summary sensitivity, summary specificity, positive and negative likelihood ratios as well as the pooled diagnostic odds ratio were 92.0 % (95 % confidence interval [CI] 86.7-95.4 %), 91.9 % (95 % CI 86.5-95.3 %), 11.4 (95 % CI 6.74-19.2), 0.087 (95 % CI 0.051-0.146) and 132 (95 % CI 62.6-277), respectively. Our findings support the capability of AI-assisted systems to detect OSCC with high accuracy, potentially aiding the histopathological examination in early diagnosis, yet more prospective studies are needed to justify their use in the real population.",Critical reviews in oncology/hematology,Crit Rev Oncol Hematol,Journal Article; Meta-Analysis; Systematic Review,Elmakaty Ibrahim,"College of Medicine, QU Health, Qatar University, Doha, Qatar. Electronic address: ie1703006@qu.edu.qa.",10.1016/j.critrevonc.2022.103777,Q1,2022,evaluative,Medium,2022,Cautious Optimism,sonnet,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
35258136,2022,2022 Aug,Artificial intelligence and atrial fibrillation.,"BACKGROUND: In the context of atrial fibrillation (AF), traditional clinical practices have thus fallen short in several domains, such as identifying patients at risk of incident AF or patients with concomitant undetected paroxysmal AF. Novel approaches leveraging artificial intelligence have the potential to provide new tools to deal with some of these old problems. AIMS: To discuss the roles of artificial intelligence (AI)-enabled electrocardiogram (ECG) pertaining to AF, potential roles of deep learning (DL) models in the context of current knowledge gaps, as well as limitations of these models. MATERIALS & METHODS: An extensive search and review of the currently available literature on the topics. RESULTS: One key area where DL models can translate to better patient outcomes is through automated ECG interpretation. Challenges with regards to the benefits and harms of AF screening remain. In this context, a unique model was developed to detect underlying hidden AF from sinus rhythm. DISCUSSION: Knowledge gaps remain regarding the best ways to monitor patients with embolic stroke of undetermined source (ESUS) and identifying those who would benefit most from oral anticoagulation. The AI-enabled AF model is one potential way to tackle this complex problem as it could be used to identify a subset of high-risk ESUS patients likely to benefit from empirical oral anticoagulation. The role of DL models assessing AF burden from long-duration ECG data is also discussed as a way of guiding management. There is a trend towards the use of consumer-grade wristbands and watches to detect AF from photoplethysmography data. However, ECG currently remains the gold standard to detect arrythmias including AF. Lastly, the role of adequate external validation of the models and clinical trials to study true performance is discussed. CONCLUSION: Algorithms using AI to interpret ECGs in various new ways have been developed. While still, much work needs to be done, these technologies have shown enormous potential in a short span of time. With further advancements and continuous research, these novel ways of interpretation may well become part of everyday clinical workflow.",Journal of cardiovascular electrophysiology,J Cardiovasc Electrophysiol,"Journal Article; Review; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Sehrawat Ojasav,"Department of Cardiovascular Medicine, Mayo Clinic, Rochester, Minnesota, USA.",10.1016/j.numecd.2019.07.015,Q1,2022,discourse,Medium,2022,Cautious Optimism,sonnet,High,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""yes""}"
