pmid,year,pub_date,title,abstract,journal,journal_abbr,pub_type,first_author,first_affiliation,doi,sjr_quartile,pub_year,stance,stance_model,confidence,predictive_claim,stance_raw
32949567,2021,2021 Mar,Real-time artificial intelligence-based histologic classification of colorectal polyps with augmented visualization.,"BACKGROUND AND AIMS: Artificial intelligence (AI)-based computer-aided diagnostic (CADx) algorithms are a promising approach for real-time histology (RTH) of colonic polyps. Our aim is to present a novel in situ CADx approach that seeks to increase transparency and interpretability of results by generating an intuitive augmented visualization of the model's predicted histology over the polyp surface. METHODS: We developed a deep learning model using semantic segmentation to delineate polyp boundaries and a deep learning model to classify subregions within the segmented polyp. These subregions were classified independently and were subsequently aggregated to generate a histology map of the polyp's surface. We used 740 high-magnification narrow-band images from 607 polyps in 286 patients and over 65,000 subregions to train and validate the model. RESULTS: The model achieved a sensitivity of .96, specificity of .84, negative predictive value (NPV) of .91, and high-confidence rate (HCR) of .88, distinguishing 171 neoplastic polyps from 83 non-neoplastic polyps of all sizes. Among 93 neoplastic and 75 non-neoplastic polyps ≤5 mm, the model achieved a sensitivity of .95, specificity of .84, NPV of .91, and HCR of .86. CONCLUSIONS: The CADx model is capable of accurately distinguishing neoplastic from non-neoplastic polyps and provides a histology map of the spatial distribution of localized histologic predictions along the delineated polyp surface. This capability may improve interpretability and transparency of AI-based RTH and offer intuitive, accurate, and user-friendly guidance in real time for the clinical management and documentation of optical histology results.",Gastrointestinal endoscopy,Gastrointest Endosc,Journal Article,Rodriguez-Diaz Eladio,"Research Service, VA Boston Healthcare System, Boston, MA; Department of Biomedical Engineering, Boston University College of Engineering, Boston, MA.",10.1016/j.gie.2020.09.018,Q1,2021,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
33735065,2021,2021 Jan,Diagnosis and risk stratification in hypertrophic cardiomyopathy using machine learning wall thickness measurement: a comparison with human test-retest performance.,"BACKGROUND: Left ventricular maximum wall thickness (MWT) is central to diagnosis and risk stratification of hypertrophic cardiomyopathy, but human measurement is prone to variability. We developed an automated machine learning algorithm for MWT measurement and compared precision (reproducibility) with that of 11 international experts, using a dataset of patients with hypertrophic cardiomyopathy. METHODS: 60 adult patients with hypertrophic cardiomyopathy, including those carrying hypertrophic cardiomyopathy gene mutations, were recruited at three institutes in the UK from August, 2018, to September, 2019: Barts Heart Centre, University College London Hospital (The Heart Hospital), and Leeds Teaching Hospitals NHS Trust. Participants had two cardiovascular magnetic resonance scans (test and retest) on the same day, ensuring no biological variability, using four cardiac MRI scanner models represented across two manufacturers and two field strengths. End-diastolic short-axis MWT was measured in test and retest by 11 international experts (from nine centres in six countries) and an automated machine learning method, which was trained to segment endocardial and epicardial contours on an independent, multicentre, multidisease dataset of 1923 patients. Machine learning MWT measurement was done with a method based on solving Laplace's equation. To assess test-retest reproducibility, we estimated the absolute test-retest MWT difference (precision), the coefficient of variation (CoV) for duplicate measurements, and the number of patients reclassified between test and retest according to different thresholds (MWT >15 mm and >30 mm). We calculated the sample size required to detect a prespecified MWT change between pairs of scans for machine learning and each expert. FINDINGS: 1440 MWT measurements were analysed, corresponding to two scans from 60 participants by 12 observers (11 experts and machine learning). Experts differed in the MWT they measured, ranging from 14·9 mm (SD 4·2) to 19·0 mm (4·7; p<0·0001 for trend). Machine learning-measured mean MWT was 16·8 mm (4·1). Machine learning precision was superior, with a test-retest difference of 0·7 mm (0·6) compared with experts, who ranged from 1·1 mm (0·9) to 3·7 mm (2·0; p values for machine learning vs expert comparison ranging from <0·0001 to 0·0073) and a significantly lower CoV than for all experts (4·3% [95% CI 3·3-5·1] vs 5·7-12·1% across experts). On average, 38 (64%) patients were designated as having MWT greater than 15 mm by machine learning compared with 27 (45%) to 50 (83%) patients by experts; five (8%) patients were reclassified in test-retest by machine learning compared with four (7%) to 12 (20%) by experts. With a cutoff point of more than 30 mm for implantable cardioverter-defibrillator, three experts would have changed recommendations between tests a total of four times, but machine learning was consistent. Using machine learning, a clinical trial to detect a 2 mm MWT change would need 2·3 times (range 1·6-4·6) fewer patients. INTERPRETATION: In this preliminary study, machine learning MWT measurement in hypertrophic cardiomyopathy is superior to human experts with potential implications for diagnosis, risk stratification, and clinical trials. FUNDING: European Regional Development Fund and Barts Charity.",The Lancet. Digital health,Lancet Digit Health,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",Augusto João B,"Cardiac Imaging Department, Barts Heart Centre, St Bartholomew's Hospital, London, UK; Institute of Cardiovascular Science, University College London, London, UK.",10.1016/S2589-7500(20)30267-3,Q1,2021,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
34540191,2021,2021 Jan,Task-Oriented Intelligent Solution to Measure Parkinson's Disease Tremor Severity.,"Tremor is a common symptom of Parkinson's disease (PD). Currently, tremor is evaluated clinically based on MDS-UPDRS Rating Scale, which is inaccurate, subjective, and unreliable. Precise assessment of tremor severity is the key to effective treatment to alleviate the symptom. Therefore, several objective methods have been proposed for measuring and quantifying PD tremor from data collected while patients performing scripted and unscripted tasks. However, up to now, the literature appears to focus on suggesting tremor severity classification methods without discrimination tasks effect on classification and tremor severity measurement. In this study, a novel approach to identify a recommended system is used to measure tremor severity, including the influence of tasks performed during data collection on classification performance. The recommended system comprises recommended tasks, classifier, classifier hyperparameters, and resampling technique. The proposed approach is based on the above-average rule of five advanced metrics results of four subdatasets, six resampling techniques, six classifiers besides signal processing, and features extraction techniques. The results of this study indicate that tasks that do not involve direct wrist movements are better than tasks that involve direct wrist movements for tremor severity measurements. Furthermore, resampling techniques improve classification performance significantly. The findings of this study suggest that a recommended system consists of support vector machine (SVM) classifier combined with BorderlineSMOTE oversampling technique and data collection while performing set of recommended tasks, which are sitting, stairs up and down, walking straight, walking while counting, and standing.",Journal of healthcare engineering,J Healthc Eng,"Journal Article; Research Support, Non-U.S. Gov't; Retracted Publication",AlMahadin Ghayth,"School of Science and Technology, Nottingham Trent University, Clifton Lane, Nottingham NG11 8NS, UK.",10.1148/radiology.143.1.7063747,Q2,2021,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
33545300,2021,2021 Jul,Clinical Natural Language Processing for Radiation Oncology: A Review and Practical Primer.,"Natural language processing (NLP), which aims to convert human language into expressions that can be analyzed by computers, is one of the most rapidly developing and widely used technologies in the field of artificial intelligence. Natural language processing algorithms convert unstructured free text data into structured data that can be extracted and analyzed at scale. In medicine, this unlocking of the rich, expressive data within clinical free text in electronic medical records will help untap the full potential of big data for research and clinical purposes. Recent major NLP algorithmic advances have significantly improved the performance of these algorithms, leading to a surge in academic and industry interest in developing tools to automate information extraction and phenotyping from clinical texts. Thus, these technologies are poised to transform medical research and alter clinical practices in the future. Radiation oncology stands to benefit from NLP algorithms if they are appropriately developed and deployed, as they may enable advances such as automated inclusion of radiation therapy details into cancer registries, discovery of novel insights about cancer care, and improved patient data curation and presentation at the point of care. However, challenges remain before the full value of NLP is realized, such as the plethora of jargon specific to radiation oncology, nonstandard nomenclature, a lack of publicly available labeled data for model development, and interoperability limitations between radiation oncology data silos. Successful development and implementation of high quality and high value NLP models for radiation oncology will require close collaboration between computer scientists and the radiation oncology community. Here, we present a primer on artificial intelligence algorithms in general and NLP algorithms in particular; provide guidance on how to assess the performance of such algorithms; review prior research on NLP algorithms for oncology; and describe future avenues for NLP in radiation oncology research and clinics.","International journal of radiation oncology, biology, physics",Int J Radiat Oncol Biol Phys,Journal Article; Review,Bitterman Danielle S,"Department of Radiation Oncology, Brigham and Women's Hospital/Dana-Farber Cancer Institute, Boston, Massachusetts; Computational Health Informatics Program, Boston Children's Hospital, Boston, Massachusetts; Artificial Intelligence in Medicine Program, Brigham and Women's Hospital, Boston, Massachusetts. Electronic address: danielle_bitterman@dfci.harvard.edu.",10.1016/j.ijrobp.2021.01.044,Q1,2021,Cautious Optimism,haiku,High,yes,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""yes""}"
35002666,2021,2021 Jan,DR-IIXRN : Detection Algorithm of Diabetic Retinopathy Based on Deep Ensemble Learning and Attention Mechanism.,"Diabetic retinopathy (DR) is one of the common chronic complications of diabetes and the most common blinding eye disease. If not treated in time, it might lead to visual impairment and even blindness in severe cases. Therefore, this article proposes an algorithm for detecting diabetic retinopathy based on deep ensemble learning and attention mechanism. First, image samples were preprocessed and enhanced to obtain high quality image data. Second, in order to improve the adaptability and accuracy of the detection algorithm, we constructed a holistic detection model DR-IIXRN, which consists of Inception V3, InceptionResNet V2, Xception, ResNeXt101, and NASNetLarge. For each base classifier, we modified the network model using transfer learning, fine-tuning, and attention mechanisms to improve its ability to detect DR. Finally, a weighted voting algorithm was used to determine which category (normal, mild, moderate, severe, or proliferative DR) the images belonged to. We also tuned the trained network model on the hospital data, and the real test samples in the hospital also confirmed the advantages of the algorithm in the detection of the diabetic retina. Experiments show that compared with the traditional single network model detection algorithm, the auc, accuracy, and recall rate of the proposed method are improved to 95, 92, and 92%, respectively, which proves the adaptability and correctness of the proposed method.",Frontiers in neuroinformatics,Front Neuroinform,Journal Article,Ai Zhuang,"Department of Research and Development, Sinopharm Genomics Technology Co., Ltd., Jiangsu, China.",10.1109/CVPR.2018.00907,Q1,2021,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
34489938,2021,2021 Jan,Immune Infiltrating Cells-Derived Risk Signature Based on Large-scale Analysis Defines Immune Landscape and Predicts Immunotherapy Responses in Glioma Tumor Microenvironment.,"The glioma tumor microenvironment (TME), composed of several noncancerous cells and biomolecules is known for its complexity of cancer-immune system interaction. Given that, novel risk signature is required for predicting glioma patient responses to immunotherapy. In this study, we systematically evaluated the TME infiltration pattern of 2877 glioma samples. TME phenotypes were determined using the Partitioning Around Medoid method. Machine learning including SVM-RFE and Principal component analysis (PCA) were used to construct a TME scoring system. A total of 857 glioma samples from four datasets were used for external validation of the TME-score. The correlation of TME phenotypes and TME-scores with diverse clinicopathologic characteristics, genomic features, and immunotherapeutic efficacy in glioma patients was determined. Immunohistochemistry staining for the M2 macrophage marker CD68 and CD163, mast cell marker CD117, neutrophil marker CD66b, and RNA sequencing of glioma samples from the XYNS cohort were performed. Two distinct TME phenotypes were identified. High TME-score correlated with a high number of immune infiltrating cells, elevated expression of immune checkpoints, increased mutation rates of oncogenes, and poor survival of glioma patients. Moreover, high TME-score exhibited remarkable association with multiple immunomodulators that could potentially mediate immune escape of cancer. Thus, the TME-score showed the potential to predict the efficacy of anti-PD-1 immunotherapy. Univariate and multivariate analyses demonstrated the TME-score to be a valuable prognostic biomarker for gliomas. Our study demonstrated that TME could potentially influence immunotherapy efficacy in melanoma patients whereas its role in immunotherapy of glioma patients remains unknown. Therefore, a better understanding of the TME landscape in gliomas would promote the development of novel immunotherapy strategies against glioma.",Frontiers in immunology,Front Immunol,"Journal Article; Research Support, Non-U.S. Gov't",Zhang Nan,"Department of Neurosurgery, Xiangya Hospital, Central South University, Changsha, China.",10.1038/ni.2703,Q1,2021,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
33864972,2021,2021 Jun,A deep learning approach for the automatic recognition of prosthetic mitral valve in echocardiographic images.,"The first step in the automatic evaluation of the cardiac prosthetic valve is the recognition of such valves in echocardiographic images. This research surveyed whether a deep convolutional neural network (DCNN) could improve the recognition of prosthetic mitral valve in conventional 2D echocardiographic images. An efficient intervention to decrease the misreading rate of the prosthetic mitral valve is required for non-expert cardiologists. This intervention could serve as a section of a fully-automated analysis chain, alleviate the cardiologist's workload, and improve precision and time management, especially in an emergent situation. Additionally, it might be suitable for pre-labeling large databases of unclassified images. We, therefore, introduce a large publicly-available annotated dataset for the purpose of prosthetic mitral valve recognition. We utilized 2044 comprehensive non-stress transthoracic echocardiographic studies. Totally, 1597 patients had natural mitral valves and 447 patients had prosthetic valves. Each case contained 1 cycle of echocardiographic images from the apical 4-chamber (A4C) and the parasternal long-axis (PLA) views. Thirteen versions of the state-of-the-art models were independently trained, and the ensemble predictions were performed using those versions. For the recognition of prosthetic mitral valves from natural mitral valves, the area under the receiver-operating characteristic curve (AUC) made by the deep learning algorithm was similar to that made by cardiologists (0.99). In this research, EfficientNetB3 architecture in the A4C view and the EfficientNetB4 architecture in the PLA view were the best models among the other pre-trained DCNN models.",Computers in biology and medicine,Comput Biol Med,Journal Article,Vafaeezadeh Majid,"Biomedical Engineering Department, Iran University of Science and Technology, Tehran, Iran.",10.1016/j.compbiomed.2021.104388,Q1,2021,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
33558051,2021,2021 Apr,Deep learning models for the prediction of intraoperative hypotension.,"BACKGROUND: Intraoperative hypotension is associated with a risk of postoperative organ dysfunction. In this study, we aimed to present deep learning algorithms for real-time predictions 5, 10, and 15 min before a hypotensive event. METHODS: In this retrospective observational study, deep learning algorithms were developed and validated using biosignal waveforms acquired from patient monitoring of noncardiac surgery. The classification model was a binary classifier of a hypotensive event (MAP <65 mm Hg) or a non-hypotensive event by analysing biosignal waveforms. The regression model was developed to directly estimate the MAP. The primary outcome was area under the receiver operating characteristic (AUROC) curve and the mean absolute error (MAE). RESULTS: In total, 3301 patients were included. For invasive models, the multichannel model with an arterial pressure waveform, electrocardiography, photoplethysmography, and capnography showed greater AUROC than the arterial-pressure-only models (AUROC15-min, 0.897 [95% confidence interval {CI}: 0.894-0.900] vs 0.891 [95% CI: 0.888-0.894]) and lesser MAE (MAE15-min, 7.76 mm Hg [95% CI: 7.64-7.87 mm Hg] vs 8.12 mm Hg [95% CI: 8.02-8.21 mm Hg]). For the noninvasive models, the multichannel model showed greater AUROCs than that of the photoplethysmography-only models (AUROC15-min, 0.762 [95% CI: 0.756-0.767] vs 0.694 [95% CI: 0.686-0.702]) and lesser MAEs (MAE15-min, 11.68 mm Hg [95% CI: 11.57-11.80 mm Hg] vs 12.67 [95% CI: 12.56-12.79 mm Hg]). CONCLUSIONS: Deep learning models can predict hypotensive events based on biosignals acquired using invasive and noninvasive patient monitoring. In addition, the model shows better performance when using combined rather than single signals.",British journal of anaesthesia,Br J Anaesth,"Journal Article; Observational Study; Research Support, Non-U.S. Gov't",Lee Solam,"Department of Preventive Medicine, Yonsei University Wonju College of Medicine, Wonju, Republic of Korea; Department of Dermatology, Yonsei University Wonju College of Medicine, Wonju, Republic of Korea.",10.1016/j.bja.2020.12.035,Q1,2021,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
33168977,2021,2021 Jan,Review of retinal cameras for global coverage of diabetic retinopathy screening.,"The global burden of diabetes has resulted in an increase in the prevalence of diabetic retinopathy (DR), a microvascular complication of diabetes. Lifelong repetitive screening for DR is essential for early detection and timely management to prevent visual impairment due to the silent sight-threatening disorder. Colour fundus photography (CFP) is helpful for documentation of the retinopathy as well as for counselling the patient. CFP has established roles in DR screening, detection, progression and monitoring of treatment response. DR screening programmes use validated mydriatic or non-mydriatic fundus cameras for retinal imaging and trained image graders identify referable DR. Smartphone-based fundus cameras and handheld fundus cameras that are cost-effective, portable and easy to handle in remote places are gaining popularity in recent years. The images captured with these low-cost devices can be immediately sent to trained ophthalmologists for grading of DR. Recent increase in numbers of telemedicine programmes based on imaging with digital fundus cameras and remote interpretation has facilitated larger population coverage of DR screening and timely referral of those with sight-threatening DR to ophthalmologists. Good-quality retinal imaging and accurate diagnosis are essential to reduce inappropriate referrals. Advances in digital imaging such as ultra-wide field imaging and multi-modal imaging have opened new avenues for assessing DR. Fundus cameras with integrated artificial intelligence (AI)-based automated algorithms can also provide instant DR diagnosis and reduce the burden of healthcare systems. We review the different types of fundus cameras currently used in DR screening and management around the world. 摘要: 在全球, 糖尿病的患病率日益增长导致了微血管并发症—糖尿病视网膜病变(DR)的患病率增加。为了早期发现和及时治疗, 对DR患者的终身反复筛查至关重要, 以防因这种隐匿的视力威胁造成视力损害。彩色眼底照相(CFP)有助于记录视网膜病变以及有利于患者进行咨询。CFP已在DR的筛查、检测、进展和监测治疗反应等方面发挥了重要作用。DR筛查项目使用经过验证的散瞳或非散瞳眼底相机进行视网膜成像并且由训练有素的图像分级员识别DR。智能手机近年来在偏远地区越来越受欢迎, 基于手机的眼底相机和手持式眼底相机具有成本效益低、便携和易于操作的特点。使用这些低成本设备捕获的图像可以立即发送给训练有素的眼科医生, 以便对DR进行分级。最近, 基于数字眼底相机成像和远程解读的远程医疗计划数量增加, 有助于扩大DR筛查的人群覆盖面, 并及时将患有视力损伤的DR患者转诊给眼科医生。高质量的视网膜成像和精准的诊断对于减少不当的转诊至关重要。数字成像的进步, 如超宽范围成像和多模式成像, 为评估DR开辟了新的途径。带有集成人工智能(AI)自动化算法的眼底相机还可以提供即时的DR诊断, 并减轻医疗系统的负担。我们对目前世界各地用于DR筛查和管理的不同类型的眼底相机进行了综述。.","Eye (London, England)",Eye (Lond),Journal Article; Review,Rajalakshmi Ramachandran,"Department of Ophthalmology, Dr. Mohan's Diabetes Specialities Centre and Madras Diabetes Research Foundation, Chennai, India. drraj@drmohans.com.",10.4103/ijo.IJO_608_19,Q1,2021,Cautious Optimism,haiku,High,no,"{""stance"": ""Cautious Optimism"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
34512933,2021,2021 Jan,"Prediction of Multidrug-Resistant Tuberculosis Using Machine Learning Algorithms in SWAT, Pakistan.","In this paper, we have focused on machine learning (ML) feature selection (FS) algorithms for identifying and diagnosing multidrug-resistant (MDR) tuberculosis (TB). MDR-TB is a universal public health problem, and its early detection has been one of the burning issues. The present study has been conducted in the Malakand Division of Khyber Pakhtunkhwa, Pakistan, to further add to the knowledge on the disease and to deal with the issues of identification and early detection of MDR-TB by ML algorithms. These models also identify the most important factors causing MDR-TB infection whose study gives additional insights into the matter. ML algorithms such as random forest, k-nearest neighbors, support vector machine, logistic regression, leaset absolute shrinkage and selection operator (LASSO), artificial neural networks (ANNs), and decision trees are applied to analyse the case-control dataset. This study reveals that close contacts of MDR-TB patients, smoking, depression, previous TB history, improper treatment, and interruption in first-line TB treatment have a great impact on the status of MDR. Accordingly, weight loss, chest pain, hemoptysis, and fatigue are important symptoms. Based on accuracy, sensitivity, and specificity, SVM and RF are the suggested models to be used for patients' classifications.",Journal of healthcare engineering,J Healthc Eng,Journal Article; Retracted Publication,Ali Mian Haider,"Department of Statistics, Abdul Wali Khan University, Mardan, Pakistan.",10.1155/2021/9998819,Q2,2021,Neutral,haiku,High,no,"{""stance"": ""Neutral"", ""confidence"": ""High"", ""predictive_claim"": ""no""}"
