pmid,year,pub_date,title,abstract,journal,journal_abbr,pub_type,first_author,first_affiliation,doi,scopus_eid,cited_by,sjr_quartile,sjr_quartile
2-s2.0-85126723644,2021,2021 Dec,Applying a Common Enterprise Theory of Liability to Clinical AI Systems,,American Journal of Law and Medicine,,Article,Chan B.,"Health Legal Services Unit, Ottawa, Canada",10.1017/amj.2022.1,2-s2.0-85126723644,23,Q3,Q3
2-s2.0-85124140072,2021,2021 Dec,"Big Data, Explanations and Knowability",,Ragion Pratica,,Article,Palmirani M.,"Alma Mater Studiorum Università di Bologna, Bologna, Italy",10.1415/102318,2-s2.0-85124140072,10,Q3,Q3
2-s2.0-85124118883,2021,2021 Dec,La proprietà intellettuale sui modelli di previsione e di profilazione,,Ragion Pratica,,Article,Aliprandi S.,,10.1415/102319,2-s2.0-85124118883,0,Q3,Q3
2-s2.0-85124149352,2021,2021 Dec,Il vantaggio della responsabilità concorsuale da uso “organizzato” di algoritmi,,Ragion Pratica,,Article,Ferrari M.,"Università degli Studi di Milano-Bicocca, Milan, Italy",10.1415/102321,2-s2.0-85124149352,0,Q3,Q3
2-s2.0-85144083511,2021,2021 Nov,Regulating Biobanks: An ethical analysis of the Spanish Law and the new challenges of the bigdata-driven biomedical research,,Revista De Bioetica Y Derecho,,Article,Iacomussi S.,"Alma Mater Studiorum Università di Bologna, Bologna, Italy",10.1344/rbd2021.53.32834,2-s2.0-85144083511,0,Q3,Q3
2-s2.0-85122487511,2021,2021 Oct,USING ARTIFICIAL INTELLIGENCE ALGORITHMS IN THE FIELD OF CRIMINAL JUDICIARY: INTERNATIONAL EXPERIENCE AND DOMESTIC PROSPECTS,,Science and Innovation,,Article,Demura M.,"Yaroslav Mudryi National Law University, Kharkiv, Ukraine",10.15407/SCINE17.05.095,2-s2.0-85122487511,2,Q3,Q3
2-s2.0-85107695277,2021,2021 Oct,Big data and artificial intelligence in tax administration,,Revista De Internet Derecho Y Politica,,Article,Cuello R.O.,"ESERP Business and Law School, Spain",10.5534/WJMH.210043,2-s2.0-85107695277,2,Q3,Q3
2-s2.0-85123878286,2021,2021 Sep,Impact of artificial intelligence on soft skills in the work of lawyers,,Jusletter IT,,Article,Fischer S.,"University of St. Gallen, St Gallen, Switzerland",10.38023/40754FA2-85EE-45BF-A40B-3896554701F4,2-s2.0-85123878286,0,Q3,Q3
2-s2.0-85115798493,2021,2021 Sep,Ethics guidelines for artificial intelligence: Comparing the european and chinese approaches,,China and Wto Review,,Article,Timoteo M.,"Alma Mater Studiorum Università di Bologna, Bologna, Italy",10.14330/cwr.2021.7.2.03,2-s2.0-85115798493,4,Q3,Q3
2-s2.0-85107781293,2021,2021 Jul,Novel Beings and Assisted Nonexistence,,Cambridge Quarterly of Healthcare Ethics,,Article,Black I.,"Faculty of Social Sciences, York, United Kingdom",10.1017/S0963180120001085,2-s2.0-85107781293,3,Q3,Q3
2-s2.0-85120726268,2021,2021 Jul,The acceleration of the incorporation of new technologies in legal education: The requirements of practical reasonableness and ethical boundaries for the application of artificial intelligence in distance learning,,Revista Juridica,,Article,De Morais Sales L.M.,"Universidade de Fortaleza, Fortaleza, Brazil",10.21902/revistajur.2316-753X.v4i66.5003,2-s2.0-85120726268,2,Q3,Q3
2-s2.0-85107716321,2021,2021 Jul,Artificial Moral Responsibility: How We Can and Cannot Hold Machines Responsible,,Cambridge Quarterly of Healthcare Ethics,,Article,Tigard D.W.,"TUM Fakultät für Medizin, Munich, Germany",10.1017/S0963180120000985,2-s2.0-85107716321,34,Q3,Q3
2-s2.0-85126810779,2021,2021 Jun,Between robots and pandemies: Challenges in working time regulation in the 21st century,,Trabajo Y Derecho,,Article,Martínez Yáñez N.M.,"Universidade de Vigo, Vigo, Spain",,2-s2.0-85126810779,3,Q3,Q3
2-s2.0-85093070737,2021,2021 Jun,"Through a glass, darkly: Artificial intelligence and the problem of opacity",,American Journal of Comparative Law,,Article,Chesterman S.,"National University of Singapore, Singapore City, Singapore",10.1093/ajcl/avab012,2-s2.0-85093070737,34,Q3,Q3
2-s2.0-85111521479,2021,2021 May,"Transparancy requirements for algorithms and Ai, wishful thinking?",,Jusletter IT,,Article,van den Hoven van Genderen R.,"Vrije Universiteit Amsterdam, Amsterdam, Netherlands",10.38023/8cef2a86-69a1-4d93-9717-306295b60db3,2-s2.0-85111521479,0,Q3,Q3
2-s2.0-85122965147,2021,2021 May,Artificial Inventors: A Shift in Traditional Policy Paradigm,,Journal of Intellectual Property Rights,,Article,Patra S.P.,"St Xavier’s University–English, Kolkata, India",,2-s2.0-85122965147,2,Q3,Q3
2-s2.0-85112817212,2021,2021 Apr,"«Alexa, does God exist?». Legal profiles of robotics, artificial intelligence and religion",,Quaderni Di Diritto E Politica Ecclesiastica,,Article,Pacillo V.,"Università degli Studi di Modena e Reggio Emilia, Modena, Italy",10.1440/100449,2-s2.0-85112817212,1,Q3,Q3
2-s2.0-85127289739,2021,2021 Apr,USING ARTIFICIAL INTELLIGENCE TO COMBAT THE COVID-19 PANDEMIC,,Revista Juridica,,Article,Guerra P.C.,"Universidade de Lisboa, Lisbon, Portugal",10.26668/revistajur.2316-753X.v3i65.5054,2-s2.0-85127289739,0,Q3,Q3
2-s2.0-85110669697,2021,2021 Apr,Forward thinking or right on time?: A proposal to recognize authorship and inventorship to artificial intelligence,,Indonesian Journal of International and Comparative Law,,Article,Coguic L.,,,2-s2.0-85110669697,0,Q3,Q3
2-s2.0-85103755143,2021,2021 Mar,Protection of intellectual ProPerty under conditions of the information society develoPment,,Science and Innovation,,Article,Kokhanovska E.,"Taras Shevchenko National University of Kyiv, Kyiv, Ukraine",10.15407/scine17.01.103,2-s2.0-85103755143,1,Q3,Q3
2-s2.0-85108676832,2021,2021 Mar,The deployment of artificial intelligence tools in the health sector: Privacy concerns and regulatory answers within the gdpr,,European Journal of Legal Studies,,Article,Forti M.,"Sant'Anna Scuola Universitaria Superiore Pisa, Pisa, Italy",10.2924/EJLS.2019.040,2-s2.0-85108676832,12,Q3,Q3
2-s2.0-85111886831,2021,2021 Mar,Artificial intelligence cases in China: Feilin v. Baidu and Tencent Shenzhen v. Shanghai Yingxin,,China and Wto Review,,Review,Lee J.Y.,"Hanyang University, Seoul, South Korea",10.14330/cwr.2021.7.1.11,2-s2.0-85111886831,5,Q3,Q3
