pmid,first_affiliation_short,country,region
41624564,"Department of Cardiothoracic Surgery, Weill Cornell Medicine, 525 E 68th St, New York 10065, USA.",USA,North America
37340038,"Department of Radiology, Maharaj Nakorn Chiang Mai Hospital, Faculty of Medicine, Chiang Mai University, Chiang Mai, 50200, Thailand.",Thailand,South/Southeast Asia
40985091,"Network Services Department, Poznan Supercomputing and Networking Center, Polish Academy of Sciences, Poznan, Poland.",Poland,Eastern Europe
40931244,"Community Medicine Education Promotion Office, Faculty of Medicine, Kagawa University Ikenobe, 1750-1, Miki-Cho, Kagawa, 761-0793, Japan. komasawa.nobuyasu@kagawa-u.ac.jp.",Japan,East Asia
40126477,"Department of Medicine, Stanford University School of Medicine, Stanford, California.",USA,North America
40816978,"Department of Radiology, Mayo Clinic, Rochester, MN, USA; Department of Orthopedic Surgery, Mayo Clinic, Rochester, MN, USA.",USA,North America
34541861,"Medical School, University of Bristol, Bristol, UK.",United Kingdom,Western Europe
39446672,"State Key Laboratory of Oral Diseases & National Center for Stomatology & National Clinical Research Center for Oral Diseases & Department of Periodontics, West China Hospital of Stomatology, Sichuan ",China,East Asia
38524814,"Primary Health Care Corporation (PHCC), Doha, Qatar.",Qatar,Middle East / North Africa
41509008,"Hospital Development and Medical Services Division, Ministry of Health, Koshi Province, Biratnagar, Nepal.",Nepal,South/Southeast Asia
41193978,"Department of Computer Science, Escuela de Ingeniería, Pontificia Universidad Católica de Chile, Santiago, Chile. aapedro@uc.cl.",Chile,Latin America / Oceania
40904328,"Research Center for Neuromodulation and Pain, NAB Pain Clinic, Shiraz University of Medical Sciences, Shiraz, Iran.",Iran,Middle East / North Africa
41469047,"Institute for Anesthesiology and Perioperative Medicine, University Hospital Zurich, Zurich, Switzerland.",Switzerland,Western Europe
34820391,"Shanghai Engineering Research Center of Intelligence Pediatrics (SERCIP), Shanghai Children's Medical Center, School of Medicine, Shanghai Jiao Tong University, Shanghai, China.",China,East Asia
