my_label,pmid,year,pub_date,title,abstract,journal,first_author,doi,sjr_quartile,journal_abbr,pub_type,first_affiliation,haiku_label,haiku_conf
application,34927419,2022,2022 Jan,Artificial Intelligence-Aided Multiple Tumor Detection Method Based on Immunohistochemistry-Enhanced Dark-Field Imaging.,"The immunohistochemical method serves as one of the most practical tools in clinical cancer detection and thus has great application value to overcome the existing limits of the conventional method and further improve the detecting efficiency and sensitivity. This study employed 3,3'-diaminobenzidine (DAB), a conventional color indicator for immunohistochemistry, as a novel high-sensitive scattering reagent to provide a multidimensional image signal varying with the overexpression rate of tumor markers. Based on the scattering properties of DAB aggregates, an efficient and robust artificial intelligence-aided immunohistochemical method based on dark-field imaging has been established, with improvement in both the imaging quality and interpretation efficiency in comparison with the conventional manual-operated immunohistochemical method. Referencing the diagnosis from three independent pathologists, this method succeeded in detecting HER2 overexpressed breast tumors with a sensitivity of 95.2% and a specificity of 100.0%; meanwhile, it was found to be applicable for non-small-cell lung tumors and malignant lymphoma as well. As demonstrated, this study provided an effective and reliable means for making diagnostic suggestions, which exhibited great potential in multiple tumor pathological detection at low cost.",Analytical chemistry,Fan Lin,10.1021/acs.analchem.1c04000,Q1,Anal Chem,"Journal Article; Research Support, Non-U.S. Gov't","School of Geographic and Biologic Information, Smart Health Big Data Analysis and Location Services Engineering Research Center of Jiangsu Province, Nanjing University of Posts and Telecommunications, Nanjing 210023, P. R. China.",application,high
application,41065544,2025,2025 Nov,Carbon dots meet artificial intelligence: applications in biomedical engineering.,"Carbon dots (CDs) are fluorescent carbon nanomaterials typically less than 10 nm in size with excellent water solubility, low toxicity, high biocompatibility, favorable optical properties, and modifiable surface. CDs have great promise in various fields, including bioimaging, sensing, and drug delivery. With the emergence of artificial intelligence (AI) technologies, particularly machine learning (ML) and deep learning (DL) algorithms, new avenues for synthesis optimization, performance improvement, and accurate detection and diagnosis using CDs in biomedical engineering have been opened up. This article aims to present a comprehensive review of the applications of AI in CD research, from material design and performance optimization to material characterization and data analysis. It also addresses the possible areas of application for AI-assisted CDs in biomedical engineering, highlighting the importance and future directions of this interdisciplinary area of research. In addition, the potential role of CDs in advancing AI technologies such as optoelectronic storage devices and neuromorphic computing is explored, as well as the lasting impact of the convergence of CDs and AI on the future course of technological advancement.",Journal of materials chemistry. B,Guo Yalei,10.1039/d5tb00593k,Q1,J Mater Chem B,Journal Article; Review,"State Key Laboratory of Oral Diseases & National Center for Stomatology & National Clinical Research Center for Oral Diseases, Department of Head and Neck Oncology, West China Hospital of Stomatology, Sichuan University, Chengdu 610041, Sichuan, China. zhiyongguo@scu.edu.cn.",application,high
application,33207877,2021,2021 Jan,Coupled Mass-Spectrometry-Based Lipidomics Machine Learning Approach for Early Detection of Clear Cell Renal Cell Carcinoma.,"A discovery-based lipid profiling study of serum samples from a cohort that included patients with clear cell renal cell carcinoma (ccRCC) stages I, II, III, and IV (n = 112) and controls (n = 52) was performed using ultraperformance liquid chromatography coupled to quadrupole-time-of-flight mass spectrometry and machine learning techniques. Multivariate models based on support vector machines and the LASSO variable selection method yielded two discriminant lipid panels for ccRCC detection and early diagnosis. A 16-lipid panel allowed discriminating ccRCC patients from controls with 95.7% accuracy in a training set under cross-validation and 77.1% accuracy in an independent test set. A second model trained to discriminate early (I and II) from late (III and IV) stage ccRCC yielded a panel of 26 compounds that classified stage I patients from an independent test set with 82.1% accuracy. Thirteen species, including cholic acid, undecylenic acid, lauric acid, LPC(16:0/0:0), and PC(18:2/18:2), identified with level 1 exhibited significantly lower levels in samples from ccRCC patients compared to controls. Moreover, 3α-hydroxy-5α-androstan-17-one 3-sulfate, cis-5-dodecenoic acid, arachidonic acid, cis-13-docosenoic acid, PI(16:0/18:1), PC(16:0/18:2), and PC(O-16:0/20:4) contributed to discriminate early from late ccRCC stage patients. The results are auspicious for early ccRCC diagnosis after validation of the panels in larger and different cohorts.",Journal of proteome research,Manzi Malena,10.1021/acs.jproteome.0c00663,Q1,J Proteome Res,"Journal Article; Research Support, Non-U.S. Gov't","Centro de Investigaciones en Bionanociencias (CIBION), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Godoy Cruz 2390, C1425FQD CABA, Argentina.",application,high
application,34794126,2021,2021 Dec,A supervised machine learning semantic segmentation approach for detecting artifacts in plethysmography signals from wearables.,"Objective. Wearable devices equipped with plethysmography (PPG) sensors provided a low-cost, long-term solution to early diagnosis and continuous screening of heart conditions. However PPG signals collected from such devices often suffer from corruption caused by artifacts. The objective of this study is to develop an effective supervised algorithm to locate the regions of artifacts within PPG signals.Approach. We treat artifact detection as a 1D segmentation problem. We solve it via a novel combination of an active-contour-based loss and an adapted U-Net architecture. The proposed algorithm was trained on the PPG DaLiA training set, and further evaluated on the PPG DaLiA testing set, WESAD dataset and TROIKA dataset.Main results. We evaluated with the DICE score, a well-established metric for segmentation accuracy evaluation in the field of computer vision. The proposed method outperforms baseline methods on all three datasets by a large margin (≈7 percentage points above the next best method). On the PPG DaLiA testing set, WESAD dataset and TROIKA dataset, the proposed method achieved 0.8734 ± 0.0018, 0.9114 ± 0.0033 and 0.8050 ± 0.0116 respectively. The next best method only achieved 0.8068 ± 0.0014, 0.8446 ± 0.0013 and 0.7247 ± 0.0050.Significance. The proposed method is able to pinpoint exact locations of artifacts with high precision; in the past, we had only a binary classification of whether a PPG signal has good or poor quality. This more nuanced information will be critical to further inform the design of algorithms to detect cardiac arrhythmia.",Physiological measurement,Guo Zhicheng,10.1088/1361-6579/ac3b3d,Q1,Physiol Meas,Journal Article,"Department of Computer Science, Duke University, United States of America.",application,high
application,41775953,2026,2026 Mar,Deep learning-based basilar artery wall and lumen segmentation from 1-mm MR vessel wall imaging.,"To investigate the morphology of the basilar artery (BA) using 1-mm magnetic resonance (MR) vessel wall imaging (VWI). This retrospective study included 36 patients who underwent intracranial 1-mm MR-VWI. The BA morphology was evaluated following a machine learning paradigm. Twenty patients (1073 cross-sectional BA images) were used to fine-tune a pre-trained deep learning model, Mask-RCNN, for BA segmentation. Six (373 cross-sectional BA images) were used for model validation and 10 (186 axial BA images) for comparison with human expert ratings. Human expert ratings were conducted in radial directions oriented at 3, 6, 9, and 12 o’clock. Agreement between human expert and machine estimation was evaluated using the intraclass correlation coefficient (ICC) and statistical significance was estimated by paired student’s t-test. BA wall segmentation was assessed using the intersection-over-union (IOU) metric. The BA exhibits a tapered shape, with the widest diameter at the beginning (3.17 ± 0.69 mm) and significantly narrowing towards the end (2.71 ± 0.55 mm) (p-value < 0.001). The deep-learning model demonstrated moderate to excellent agreement with human expert ratings (ICC: 0.72–0.83) when measuring BA diameter. However, agreement was less optimal (ICC < 0.5) when measuring artery wall thickness. For vessel wall segmentation, the model achieved a mean IOU score of 0.756 ± 0.079. This study demonstrates the effectiveness of using a 1-mm MR-VWI protocol for characterizing and evaluating the vertebrobasilar circulation. This enhanced knowledge of basilar artery shape is critical and should help neurosurgeons safely diagnose and manage posterior circulation diseases.",Scientific reports,Tsou Chien-Hung,10.3174/ajnr.A4893,Q1,Sci Rep,Journal Article,"Department of Biomedical Sciences and Engineering, National Central University, Zhongli, Taiwan.",application,high
application,36084444,2022,2022 Oct,Comparing the effectiveness of a brief intervention to reduce unhealthy alcohol use among adult primary care patients with and without depression: A machine learning approach with augmented inverse probability weighting.,"BACKGROUND: The combination of unhealthy alcohol use and depression is associated with adverse outcomes including higher rates of alcohol use disorder and poorer depression course. Therefore, addressing alcohol use among individuals with depression may have a substantial public health impact. We compared the effectiveness of a brief intervention (BI) for unhealthy alcohol use among patients with and without depression. METHOD: This observational study included 312,056 adult primary care patients at Kaiser Permanente Northern California who screened positive for unhealthy drinking between 2014 and 2017. Approximately half (48%) received a BI for alcohol use and 9% had depression. We examined 12-month changes in heavy drinking days in the previous three months, drinking days per week, drinks per drinking day, and drinks per week. Machine learning was used to estimate BI propensity, follow-up participation, and alcohol outcomes for an augmented inverse probability weighting (AIPW) estimator of the average treatment (BI) effect. This approach does not depend on the strong parametric assumptions of traditional logistic regression, making it more robust to model misspecification. RESULTS: BI had a significant effect on each alcohol use outcome in the non-depressed subgroup (-0.41 to -0.05, all ps < .003), but not in the depressed subgroup (-0.33 to -0.01, all ps > .28). However, differences between subgroups were nonsignificant (0.00 to 0.11, all ps > .44). CONCLUSION: On average, BI is an effective approach to reducing unhealthy drinking, but more research is necessary to understand its impact on patients with depression. AIPW with machine learning provides a robust method for comparing intervention effectiveness across subgroups.",Drug and alcohol dependence,Papini Santiago,10.1016/j.drugalcdep.2022.109607,Q1,Drug Alcohol Depend,"Journal Article; Observational Study; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","Division of Research, Kaiser Permanente Northern California, 2000 Broadway, Oakland, CA 94612, USA. Electronic address: santiago.x.papini@kp.org.",application,high
application,41014675,2025,2025 Nov,Exploring learning transferability in deep segmentation of colorectal cancer liver metastases.,"Ensuring the seamless transfer of knowledge and models across various datasets and clinical contexts is of paramount importance in medical image segmentation. This is especially true for liver lesion segmentation which plays a key role in pre-operative planning and treatment follow-up. Despite the progress of deep learning algorithms using Transformers, automatically segmenting small hepatic metastases remains a persistent challenge. This can be attributed to the degradation of small structures due to the intrinsic process of feature down-sampling inherent to many deep architectures, coupled with the imbalance between foreground metastases voxels and background. While similar challenges have been observed for liver tumors originated from hepatocellular carcinoma, their manifestation in the context of liver metastasis delineation remains under-explored and require well-defined guidelines. Through comprehensive experiments, this paper aims to bridge this gap and to demonstrate the impact of various transfer learning schemes from off-the-shelf datasets to a dataset containing liver metastases only. Our scale-specific evaluation reveals that models trained from scratch or with domain-specific pre-training demonstrate greater proficiency.",Computers in biology and medicine,Abbas Marwan,10.1016/j.compbiomed.2025.111076,Q1,Comput Biol Med,Journal Article,"LaTIM UMR 1101, Inserm, Brest, France; University of Western Brittany, Brest, France.",application,high
application,35210065,2022,2022 May,Recent Developments in SPECT/CT.,"The debut of multimodal Single Photon Emission Computed Tomography/X-ray Computed Tomography (SPECT/CT) has signified an important advancement of Nuclear Medicine imaging by allowing for high-quality attenuation correction and co-registration/fusion of metabolic and anatomical images. This progress in SPECT instrumentation continued and resulted in the clinical application of several new techniques, such as for example, semiconductive Cadmium-Zinc-Telluride (CZT) detectors, quantification of radiopharmaceutical uptake in absolute units, whole-body SPECT acquisitions with multiple bed positions, and novel non-parallel hole collimators. Many other new methods were reported from literature during the last years, but still await implementation in clinical routine. Here, examples are multipinhole collimators, iterative reconstruction with Monte-Carlo projectors, list-mode SPECT acquisitions, and quantitative imaging of alpha-emitters. For the future, it could be expected that deep-learning approaches would be applied for Nuclear Medicine imaging, confirming the promising results reported by research groups. More efforts should be made for standardizing quantitative SPECT, to allow for inter-site comparability of radiopharmaceutical uptake and derived quantities such as dosimetry results. The awaited market authorization of several SPECT-imageable therapeutic radiopharmaceuticals will drive the interest in SPECT/CT and ensure that it remains the workhorse of Nuclear Medicine.",Seminars in nuclear medicine,Ritt Philipp,10.1053/j.semnuclmed.2022.01.004,Q1,Semin Nucl Med,Journal Article; Review,"Clinic of Nuclear Medicine, University Hospital Erlangen, Erlangen, Germany. Electronic address: philipp.ritt@fau.de.",application,high
evaluative,37085830,2023,2023 Apr,Develop and validate a radiomics space-time model to predict the pathological complete response in patients undergoing neoadjuvant treatment of rectal cancer: an artificial intelligence model study based on machine learning.,"OBJECTIVE: In this study, we aimed to investigate the predictive efficacy of magnetic resonance imaging (MRI) radiomics features at different time points of neoadjuvant therapy for rectal cancer in patients with pathological complete response (pCR). Furthermore, we aimed to develop and validate a radiomics space-time model (RSTM) using machine learning for artificial intelligence interventions in predicting pCR in patients. METHODS: Clinical and imaging data of 83 rectal cancer patients were retrospectively analyzed, and the patients were classified as pCR and non-pCR patients according to their postoperative pathological results. All patients received one MRI examination before and after neoadjuvant therapy to extract radiomics features, including pre-treatment, post-treatment, and delta features. Delta features were defined by the ratio of the difference between the pre- and the post-treatment features to the pre-treatment feature. After feature dimensionality reduction based on the above three feature types, the RSTM was constructed using machine learning methods, and its performance was evaluated using the area under the curve (AUC). RESULTS: The AUC values of the individual basic models constructed by pre-treatment, post-treatment, and delta features were 0.771, 0.681, and 0.871, respectively. Their sensitivity values were 0.727, 0.864, and 0.909, respectively, and their specificity values were 0.803, 0.492, and 0.656, respectively. The AUC, sensitivity, and specificity values of the combined basic model constructed by combining pre-treatment, post-treatment, and delta features were 0.901, 0.909, and 0.803, respectively. The AUC, sensitivity, and specificity values of the RSTM constructed using the K-Nearest Neighbor (KNN) classifier on the basis of the combined basic model were 0.944, 0.871, and 0.983, respectively. The Delong test showed that the performance of RSTM was significantly different from that of pre-treatment, post-treatment, and delta models (P < 0.05) but not significantly different from the combined basic model of the three (P > 0.05). CONCLUSIONS: The RSTM constructed using the KNN classifier based on the combined features of before and after neoadjuvant therapy and delta features had the best predictive efficacy for pCR of neoadjuvant therapy. It may emerge as a new clinical tool to assist with individualized management of rectal cancer patients.",BMC cancer,Peng Jiaxuan,10.1016/j.acra.2020.10.026,Q2,BMC Cancer,Journal Article,"Jinzhou medical university, Jinzhou, Liaoning Province, China.",application,high
application,36516944,2023,2023 Jan,Integrating machine learning predictions for perioperative risk management: Towards an empirical design of a flexible-standardized risk assessment tool.,"BACKGROUND: Surgical patients are complex, vulnerable, and prone to postoperative complications that can potentially be mitigated with quality perioperative risk assessment and management. Several institutions have incorporated machine learning (ML) into their patient care to improve awareness and support clinician decision-making along the perioperative spectrum. Recent research suggests that ML risk prediction can support perioperative patient risk monitoring and management across several situations, including the operating room (OR) to intensive care unit (ICU) handoffs. OBJECTIVES: Our study objectives were threefold: (1) evaluate whether ML-generated postoperative predictions are concordant with clinician-generated risk rankings for acute kidney injury, delirium, pneumonia, deep vein thrombosis, and pulmonary embolism, and establish their associated risk factors; (2) ascertain clinician end-user suggestions to improve adoption of ML-generated risks and their integration into the perioperative workflow; and (3) develop a user-friendly visualization format for a tool to display ML-generated risks and risk factors to support postoperative care planning, for example, within the context of OR-ICU handoffs. METHODS: Graphical user interfaces for postoperative risk prediction models were assessed for end-user usability through cognitive walkthroughs and interviews with anesthesiologists, surgeons, certified registered nurse anesthetists, registered nurses, and critical care physicians. Thematic analysis relying on an explanation design framework was used to identify feedback and suggestions for improvement. RESULTS: 17 clinicians participated in the evaluation. ML estimates of complication risks aligned with clinicians' independent rankings, and related displays were perceived as valuable for decision-making and care planning for postoperative care. During OR-ICU handoffs, the tool could speed up report preparation and remind clinicians to address patient-specific complications, thus providing more tailored care information. Suggestions for improvement centered on electronic tool delivery; methods to build trust in ML models; modifiable risks and risk mitigation strategies; and additional patient information based on individual preferences (e.g., surgical procedure). CONCLUSIONS: ML estimates of postoperative complication risks can provide anticipatory guidance, potentially increasing the efficiency of care planning. We have offered an ML visualization framework for designing future ML-augmented tools and anticipate the development of tools that recommend specific actions to the user based on ML model output.",Journal of biomedical informatics,Abraham Joanna,10.1016/j.jbi.2022.104270,Q2,J Biomed Inform,Journal Article,"Institute for Informatics, School of Medicine, Washington University in St Louis, MO, United States; Department of Anesthesiology, School of Medicine, Washington University in St Louis, MO, United States. Electronic address: joannaa@wustl.edu.",application,high
