genre,pub_year,n_records,n_critical,critical_share_pct,ci_lo_pct,ci_hi_pct
discourse,2021,735,222,30.20408163265306,26.666666666666668,33.336734693877546
discourse,2022,863,269,31.170336037079956,28.041714947856317,34.18597914252607
discourse,2023,1267,447,35.280189423835836,32.438831886345696,37.88476716653512
discourse,2024,1901,713,37.50657548658601,35.34981588637559,39.505523408732245
discourse,2025,2867,1016,35.437739797697944,33.69375653993721,37.39100104638995
discourse,2026,1261,477,37.82712133227597,35.208168120539256,40.52537668517049
evaluative,2021,328,48,14.634146341463413,10.975609756097562,18.597560975609756
evaluative,2022,480,64,13.333333333333334,10.208333333333334,16.671874999999993
evaluative,2023,787,177,22.490470139771286,19.567979669631512,25.285895806861497
evaluative,2024,1799,515,28.627015008337963,26.51473040578099,30.794886047804336
evaluative,2025,3031,812,26.78983833718245,25.107225338172217,28.37347410095678
evaluative,2026,1428,401,28.0812324929972,25.770308123249297,30.532212885154063
