record_id,pmid,pub_year,v1_canonical_stance,rerun_A_stance,rerun_A_conf,rerun_B_stance,rerun_B_conf
VAL_0001,35872988,2022,Advocacy,Advocacy,High,Advocacy,High
VAL_0002,42013239,2026,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0003,35329186,2022,Neutral,Neutral,Medium,Neutral,Medium
VAL_0004,40915468,2025,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0005,37202591,2023,Neutral,Neutral,High,Neutral,High
VAL_0006,38991503,2024,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0007,41529243,2026,Neutral,Neutral,Medium,Neutral,Medium
VAL_0008,36267967,2022,Cautious Optimism,Neutral,High,Neutral,High
VAL_0009,41206192,2026,Caution,Caution,High,Caution,High
VAL_0010,40540146,2025,Advocacy,Advocacy,High,Cautious Optimism,High
VAL_0011,37574841,2023,Advocacy,Advocacy,High,Advocacy,High
VAL_0012,41814072,2026,Neutral,Neutral,High,Neutral,High
VAL_0013,32985324,2021,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0014,37969495,2023,Caution,Caution,High,Caution,High
VAL_0015,40239236,2025,Neutral,Neutral,High,Neutral,High
VAL_0016,40093709,2025,Neutral,Neutral,High,Neutral,High
VAL_0017,38422082,2024,Cautious Optimism,Cautious Optimism,Medium,Cautious Optimism,Medium
VAL_0018,40301823,2025,Neutral,Neutral,High,Neutral,High
VAL_0019,34527076,2021,Advocacy,Advocacy,High,Advocacy,High
VAL_0020,39405186,2024,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0021,40405178,2025,Alarm,Alarm,High,Alarm,High
VAL_0022,39748331,2025,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0023,41754062,2026,Neutral,Neutral,Medium,Neutral,Medium
VAL_0024,39894601,2025,Advocacy,Advocacy,High,Advocacy,High
VAL_0025,34890271,2021,Cautious Optimism,Caution,High,Cautious Optimism,High
VAL_0026,34397576,2021,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0027,41694518,2026,Advocacy,Advocacy,High,Advocacy,High
VAL_0028,41939087,2026,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0029,37945100,2024,Advocacy,Advocacy,High,Advocacy,High
VAL_0030,34082064,2021,Advocacy,Advocacy,High,Advocacy,High
VAL_0031,41091584,2025,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0032,41950508,2026,Caution,Caution,High,Caution,High
VAL_0033,38323515,2024,Neutral,Neutral,High,Neutral,High
VAL_0034,40275308,2025,Neutral,Neutral,High,Neutral,High
VAL_0035,39692996,2024,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0036,36900036,2023,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0037,40079336,2025,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0038,34288435,2021,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0039,39409537,2024,Alarm,Alarm,High,Alarm,High
VAL_0040,41946482,2026,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0041,37231330,2023,Alarm,Alarm,High,Alarm,High
VAL_0042,38259001,2023,Advocacy,Advocacy,High,Advocacy,High
VAL_0043,38565004,2024,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0044,38141549,2024,Caution,Caution,High,Caution,High
VAL_0045,39106070,2024,Neutral,Alarm,High,Alarm,High
VAL_0046,37750493,2024,Alarm,Alarm,High,Alarm,High
VAL_0047,41838317,2026,Caution,Caution,High,Caution,High
VAL_0048,39264624,2024,Caution,Caution,High,Caution,High
VAL_0049,39932784,2025,Caution,Caution,High,Caution,High
VAL_0050,37704332,2023,Neutral,Neutral,High,Neutral,High
VAL_0051,41761913,2026,Alarm,Alarm,High,Alarm,High
VAL_0052,34886244,2021,Neutral,Neutral,Medium,Neutral,Medium
VAL_0053,38269650,2024,Neutral,Neutral,High,Neutral,High
VAL_0054,38667736,2024,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0055,41525195,2025,Caution,Caution,High,Caution,High
VAL_0056,33594897,2022,Neutral,Cautious Optimism,High,Cautious Optimism,High
VAL_0057,36626192,2023,Caution,Caution,High,Caution,High
VAL_0058,37754934,2023,Alarm,Alarm,High,Alarm,High
VAL_0059,37604328,2023,Neutral,Neutral,High,Neutral,High
VAL_0060,41203886,2025,Neutral,Neutral,High,Caution,Medium
VAL_0061,39677375,2025,Caution,Caution,High,Caution,High
VAL_0062,40818204,2025,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0063,35124665,2022,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0064,41347125,2025,Caution,Caution,High,Caution,High
VAL_0065,38188345,2023,Caution,Caution,High,Caution,High
VAL_0066,40089747,2025,Neutral,Cautious Optimism,High,Cautious Optimism,High
VAL_0067,41489300,2026,Neutral,Neutral,Medium,Neutral,Medium
VAL_0068,39999963,2025,Alarm,Alarm,High,Alarm,High
VAL_0069,40319039,2025,Neutral,Neutral,High,Neutral,High
VAL_0070,39733797,2025,Neutral,Neutral,High,Neutral,High
VAL_0071,40974075,2025,Advocacy,Advocacy,High,Advocacy,High
VAL_0072,40428096,2025,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0073,41590902,2025,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0074,32974930,2021,Advocacy,Advocacy,High,Advocacy,High
VAL_0075,41197595,2025,Caution,Caution,High,Caution,High
VAL_0076,41025382,2025,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0077,33499405,2021,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0078,41868387,2026,Alarm,Alarm,High,Alarm,High
VAL_0079,41626985,2025,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0080,41256318,2025,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0081,40622614,2025,Neutral,Neutral,High,Neutral,High
VAL_0082,38215455,2024,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0083,40246249,2025,Advocacy,Advocacy,High,Cautious Optimism,High
VAL_0084,40290269,2025,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0085,34394982,2021,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0086,40214219,2025,Cautious Optimism,Cautious Optimism,High,Cautious Optimism,High
VAL_0087,39230022,2024,Alarm,Alarm,High,Alarm,High
VAL_0088,35773557,2022,Neutral,Neutral,High,Neutral,High
VAL_0089,37427110,2023,Neutral,Caution,High,Neutral,High
VAL_0090,38554069,2024,Caution,Caution,High,Caution,High
VAL_0091,37547540,2023,Caution,Caution,High,Caution,High
VAL_0092,34537134,2021,Caution,Caution,High,Caution,High
